Spinosaurus_.10, {{12, 0.3}, {4, 0.32}, {8, 0.26}, {8, 0.25}, {9, 0.28}, {3, 0.22}, {12, 0.31}, {4, 0.33}, {9, 0.27}, {1, 0.21}, {8, 0.24}, {16, 0.29}, {6, 0.23}}
Spinosaurus_.9, {{100, 1.0}}
Spinosaurus_.8, {{100, 1.0}}
Spinosaurus_.7, {{4, 0.98}, {96, 0.99}}
Spinosaurus_.6, {{38, 0.94}, {37, 0.95}, {3, 0.92}, {1, 0.96}, {21, 0.93}}
Spinosaurus_.5, {{100, 1.0}}
Spinosaurus_.4, {{100, 1.0}}
Spinosaurus_.3, {{100, 1.0}}
Spinosaurus_.2, {{3, 0.98}, {97, 0.99}}
Spinosaurus_.1, {{44, 0.95}, {36, 0.94}, {1, 0.96}, {19, 0.93}}
Spinosaurus_, {{100, 1.0}}
Baryonyx.3, {{1, 0.88}, {44, 0.85}, {36, 0.86}, {12, 0.84}, {7, 0.87}}
Baryonyx.2, {{92, 0.98}, {8, 0.99}}
Baryonyx.1, {{100, 1.0}}
Suchomimus.3, {{89, 0.03}, {11, 0.02}}
Suchomimus.2, {{35, 0.18}, {5, 0.2}, {36, 0.17}, {13, 0.16}, {11, 0.19}}
Suchomimus.1, {{94, 0.03}, {6, 0.02}}
Suchomimus, {{36, 0.18}, {5, 0.2}, {32, 0.17}, {8, 0.16}, {19, 0.19}}
Baryonyx, {{100, 1.0}}
Asfaltovenator, {{100, 0.0}}
Tyrannosaurus, {{34, 0.28}, {15, 0.3}, {1, 0.32}, {5, 0.26}, {17, 0.27}, {26, 0.29}, {2, 0.31}}
Anser_fabalis, {{100, 0.01}}
Caloenas_nicobarica, {{100, 0.0}}
Strigiops_habroptilus, {{100, 0.0}}
Phalacrocorax_harrisi, {{4, 0.28}, {57, 0.3}, {2, 0.31}, {37, 0.29}}
large_eocene_stem_penguin, {{100, 1.0}}
Hydromys_chrysogaster, {{1, 0.28}, {62, 0.3}, {8, 0.31}, {29, 0.29}}
Rattus_rattus, {{100, 0.01}}
Desmana_moschata, {{100, 1.0}}
Phocanella_pumila, {{100, 1.0}}
Felis_felis, {{100, 0.0}}
Rodhocetus, {{100, 1.0}}
Hippopotamus_amphibius, {{100, 0.95}}
Paraplacodus, {{100, 1.0}}
Anarosaurus, {{100, 1.0}}
Plesiosaurus, {{100, 1.0}}
Poposaurus, {{100, 0.0}}
Ramphorynchus, {{34, 0.18}, {46, 0.17}, {20, 0.16}}
Spinosaurus_.11, {{15, 0.15}, {12, 0.18}, {1, 0.2}, {25, 0.17}, {16, 0.16}, {6, 0.12}, {10, 0.13}, {11, 0.14}, {4, 0.19}}
Spinosaurus_.10, {{3, 0.26}, {10, 0.25}, {10, 0.22}, {12, 0.2}, {6, 0.18}, {2, 0.27}, {10, 0.21}, {9, 0.19}, {17, 0.24}, {5, 0.17}, {16, 0.23}}
Spinosaurus_.9, {{100, 1.0}}
Spinosaurus_.8, {{100, 1.0}}
Spinosaurus_.7, {{100, 0.99}}
Spinosaurus_.6, {{43, 0.94}, {15, 0.92}, {12, 0.95}, {30, 0.93}}
Spinosaurus_.5, {{100, 1.0}}
Spinosaurus_.4, {{100, 1.0}}
Spinosaurus_.3, {{100, 1.0}}
Spinosaurus_.2, {{100, 0.99}}
Spinosaurus_.1, {{44, 0.95}, {43, 0.94}, {5, 0.96}, {8, 0.93}}
Spinosaurus_, {{100, 1.0}}
Baryonyx.3, {{1, 0.79}, {39, 0.81}, {1, 0.84}, {11, 0.83}, {30, 0.82}, {18, 0.8}}
Baryonyx.2, {{94, 0.98}, {6, 0.99}}
Baryonyx.1, {{100, 1.0}}
Suchomimus.3, {{100, 0.01}}
Suchomimus.2, {{52, 0.1}, {18, 0.11}, {29, 0.09}, {1, 0.12}}
Suchomimus.1, {{99, 0.01}, {1, 0.02}}
Suchomimus, {{8, 0.12}, {48, 0.11}, {37, 0.1}, {7, 0.09}}
Baryonyx, {{100, 1.0}}
Dromaius_, {{100, 0.0}}
Trybonix_ventralis, {{100, 0.0}}
Turdus_olivator, {{100, 0.0}}
Small_Eocene_penguin, {{100, 1.0}}
Dasyurus_maculatus, {{78, 0.63}, {22, 0.64}}
Procavia_capensis, {{3, 0.24}, {50, 0.26}, {13, 0.27}, {34, 0.25}}
Giraffa_camelopardalis, {{100, 0.0}}
Syncerus_caffer, {{12, 0.52}, {32, 0.5}, {52, 0.51}, {3, 0.49}, {1, 0.48}}
Megaloceros_sp, {{100, 0.0}}
Simosaurus_1, {{9, 0.99}, {91, 1.0}}
Cricosaurus, {{100, 1.0}}
Caiman_yacare, {{100, 1.0}}
Syntarsus_, {{100, 0.0}}
Spinosaurus_.11, {{23, 0.15}, {1, 0.18}, {2, 0.17}, {17, 0.12}, {9, 0.11}, {15, 0.13}, {10, 0.16}, {21, 0.14}, {2, 0.1}}
Spinosaurus_.10, {{4, 0.26}, {9, 0.25}, {11, 0.22}, {10, 0.2}, {6, 0.18}, {1, 0.27}, {12, 0.21}, {8, 0.19}, {14, 0.24}, {4, 0.17}, {21, 0.23}}
Spinosaurus_.9, {{100, 1.0}}
Spinosaurus_.8, {{100, 1.0}}
Spinosaurus_.7, {{100, 1.0}}
Spinosaurus_.6, {{100, 0.99}}
Spinosaurus_.5, {{100, 1.0}}
Spinosaurus_.4, {{100, 1.0}}
Spinosaurus_.3, {{100, 1.0}}
Spinosaurus_.2, {{100, 1.0}}
Spinosaurus_.1, {{100, 0.99}}
Spinosaurus_, {{100, 1.0}}
Baryonyx.3, {{71, 0.95}, {24, 0.94}, {5, 0.96}}
Baryonyx.2, {{100, 1.0}}
Baryonyx.1, {{100, 1.0}}
Suchomimus.3, {{100, 0.0}}
Suchomimus.2, {{9, 0.07}, {5, 0.1}, {39, 0.09}, {47, 0.08}}
Suchomimus.1, {{99, 0.0}, {1, 0.01}}
Suchomimus, {{2, 0.07}, {15, 0.1}, {48, 0.09}, {35, 0.08}}
Baryonyx, {{100, 1.0}}
Tyrannotitan, {{12, 0.18}, {12, 0.15}, {38, 0.17}, {36, 0.16}, {2, 0.19}}
Oviraptor_, {{100, 0.0}}
Eudromia_elegans, {{100, 0.0}}
Gallus_domesticus, {{100, 0.0}}
Sarothrura_rufa, {{100, 0.0}}
Phaeton_aethereus, {{100, 0.0}}
Palaeospheniscus, {{100, 1.0}}
Rhynchocyon_petersi, {{100, 0.0}}
Micropotamogale_euwenzorii, {{100, 0.99}}
Hemiechinus_azurites, {{23, 0.73}, {77, 0.74}}
Ursus_maritimus, {{3, 0.03}, {97, 0.02}}
Tapirus_terrestris, {{60, 0.2}, {16, 0.21}, {24, 0.19}}
Elomeryx_borbonicus_, {{100, 0.01}}
Okapia_johnstoni, {{98, 0.04}, {2, 0.03}}
Bos_taurus, {{53, 0.3}, {41, 0.31}, {6, 0.29}}
Alces_americanus, {{90, 0.01}, {10, 0.02}}
Fruitadens, {{100, 0.01}}
Masiakasaurus, {{21, 0.0}, {79, 0.01}}
