Sarothrura_rufa, {{26, 0.01}, {74, 0.02}}
Tribonyx_mortieri, {{100, 0.0}}
Xenicus_giliventris, {{100, 0.0}}
Fregata_aquila, {{100, 0.0}}
large_eocene_stem_penguin, {{100, 1.0}}
Monodelphis_domestica, {{74, 0.92}, {26, 0.91}}
Mus_musculus, {{100, 0.0}}
Diplomesodon_pulchellum, {{2, 0.91}, {86, 0.9}, {12, 0.89}}
Vulpes_vulpes, {{100, 0.0}}
Placondontia_indet, {{100, 1.0}}
Pogona_viceps, {{100, 0.0}}
Dyrosaurid, {{100, 0.03}}
Masiakasaurus, {{100, 0.0}}
Spinosaurus_.11, {{1, 0.21}, {14, 0.15}, {20, 0.18}, {2, 0.2}, {11, 0.17}, {15, 0.16}, {2, 0.13}, {16, 0.14}, {19, 0.19}}
Spinosaurus_.10, {{1, 0.28}, {9, 0.22}, {1, 0.3}, {6, 0.2}, {9, 0.24}, {13, 0.26}, {18, 0.27}, {11, 0.23}, {18, 0.25}, {14, 0.21}}
Spinosaurus_.9, {{100, 1.0}}
Spinosaurus_.8, {{100, 1.0}}
Spinosaurus_.7, {{29, 0.99}, {71, 1.0}}
Spinosaurus_.6, {{45, 0.96}, {55, 0.97}}
Spinosaurus_.5, {{100, 1.0}}
Spinosaurus_.4, {{100, 1.0}}
Spinosaurus_.3, {{100, 1.0}}
Spinosaurus_.2, {{1, 0.99}, {99, 1.0}}
Spinosaurus_.1, {{5, 0.98}, {9, 0.96}, {86, 0.97}}
Spinosaurus_, {{100, 1.0}}
Baryonyx.3, {{62, 0.88}, {17, 0.89}, {21, 0.87}}
Baryonyx.2, {{100, 0.99}}
Baryonyx.1, {{100, 1.0}}
Suchomimus.3, {{100, 0.01}}
Suchomimus.2, {{45, 0.1}, {39, 0.11}, {11, 0.09}, {5, 0.12}}
Suchomimus.1, {{100, 0.01}}
Suchomimus, {{27, 0.12}, {47, 0.11}, {24, 0.1}, {1, 0.13}, {1, 0.09}}
Baryonyx, {{100, 1.0}}
Condorraptor, {{100, 0.0}}
Asfaltovenator, {{100, 0.0}}
Allosaurus_, {{100, 0.0}}
Apteryx_owenii_, {{100, 0.0}}
Anser_fabalis, {{100, 0.0}}
Podica_senegalensis, {{100, 0.0}}
Pelagodroma_marina, {{100, 0.0}}
Palaeospheniscus, {{100, 0.99}}
Ornithorhynchus_anatinus, {{100, 1.0}}
Procyon_lotor, {{8, 0.06}, {92, 0.05}}
Uncia_uncia, {{100, 0.03}}
Elomeryx_borbonicus_, {{100, 0.0}}
Syncerus_caffer, {{3, 0.59}, {47, 0.61}, {11, 0.62}, {39, 0.6}}
Anarosaurus, {{100, 1.0}}
Nothosaurus_giganteus, {{36, 0.94}, {64, 0.95}}
Sphenodon_punctatus, {{100, 0.93}}
Plateosaurus, {{100, 0.0}}
Syntarsus_, {{100, 0.0}}
Spinosaurus_.11, {{17, 0.22}, {15, 0.18}, {11, 0.2}, {4, 0.24}, {11, 0.17}, {5, 0.16}, {16, 0.23}, {2, 0.25}, {9, 0.21}, {10, 0.19}}
Spinosaurus_.10, {{6, 0.3}, {18, 0.32}, {6, 0.26}, {5, 0.25}, {7, 0.35}, {9, 0.28}, {11, 0.34}, {7, 0.31}, {12, 0.33}, {10, 0.27}, {1, 0.37}, {8, 0.29}}
Spinosaurus_.9, {{100, 1.0}}
Spinosaurus_.8, {{100, 1.0}}
Spinosaurus_.7, {{100, 1.0}}
Spinosaurus_.6, {{100, 0.99}}
Spinosaurus_.5, {{100, 1.0}}
Spinosaurus_.4, {{100, 1.0}}
Spinosaurus_.3, {{100, 1.0}}
Spinosaurus_.2, {{100, 1.0}}
Spinosaurus_.1, {{100, 0.99}}
Spinosaurus_, {{100, 1.0}}
Baryonyx.3, {{6, 0.96}, {94, 0.97}}
Baryonyx.2, {{100, 1.0}}
Baryonyx.1, {{100, 1.0}}
Suchomimus.3, {{100, 0.01}}
Suchomimus.2, {{18, 0.15}, {13, 0.18}, {27, 0.17}, {37, 0.16}, {3, 0.14}, {2, 0.19}}
Suchomimus.1, {{100, 0.01}}
Suchomimus, {{12, 0.18}, {16, 0.15}, {30, 0.17}, {38, 0.16}, {2, 0.14}, {2, 0.19}}
Baryonyx, {{100, 1.0}}
Torvosaurus, {{33, 0.91}, {60, 0.9}, {7, 0.89}}
Australovenator, {{100, 0.0}}
