Porphyrio_Poliocephalus, {{36, {{87, 5, 11, 42}, 0.0}}, {64, {{88, 5, 10, 42}, 0.0}}}
Microgale_thomasi, {{8, {{89, 5, 10, 41}, 0.0}}, {77, {{88, 5, 11, 41}, 0.0}}, {15, {{88, 5, 11, 41}, 0.01}}}
Tamandua_tetradactyla, {{3, {{88, 5, 11, 41}, 0.95}}, {8, {{89, 5, 10, 41}, 0.96}}, {89, {{88, 5, 11, 41}, 0.96}}}
Nyctereutes_procyonoides, {{1, {{89, 5, 10, 41}, 0.02}}, {7, {{89, 5, 10, 41}, 0.03}}, {92, {{88, 5, 11, 41}, 0.03}}}
Lama_guanicoe, {{8, {{89, 5, 10, 41}, 0.0}}, {92, {{88, 5, 11, 41}, 0.0}}}
Cephalophus_silvicultor, {{92, {{88, 5, 11, 41}, 0.04}}, {1, {{89, 5, 10, 41}, 0.03}}, {7, {{89, 5, 10, 41}, 0.04}}}
Simosaurus, {{8, {{89, 5, 10, 41}, 1.0}}, {92, {{88, 5, 11, 41}, 1.0}}}
Rhaeticosaurus, {{8, {{89, 5, 10, 41}, 1.0}}, {92, {{88, 5, 11, 41}, 1.0}}}
Cryptoclidus, {{8, {{89, 5, 10, 41}, 1.0}}, {92, {{88, 5, 11, 41}, 1.0}}}
Nothosaurus_568, {{8, {{89, 5, 10, 41}, 1.0}}, {92, {{88, 5, 11, 41}, 1.0}}}
Scutellosaurus_lawleri, {{20, {{88, 5, 11, 41}, 0.27}}, {16, {{88, 5, 11, 41}, 0.3}}, {2, {{89, 5, 10, 41}, 0.26}}, {3, {{89, 5, 10, 41}, 0.28}}, {3, {{88, 5, 11, 41}, 0.26}}, {26, {{88, 5, 11, 41}, 0.28}}, {3, {{89, 5, 10, 41}, 0.27}}, {27, {{88, 5, 11, 41}, 0.29}}}
Spinosaurus_.11, {{1, {{88, 5, 11, 41}, 0.27}}, {2, {{89, 5, 10, 41}, 0.23}}, {5, {{88, 5, 11, 41}, 0.19}}, {2, {{88, 5, 11, 41}, 0.26}}, {16, {{88, 5, 11, 41}, 0.22}}, {14, {{88, 5, 11, 41}, 0.23}}, {5, {{88, 5, 11, 41}, 0.18}}, {1, {{89, 5, 10, 41}, 0.24}}, {1, {{89, 5, 10, 41}, 0.2}}, {2, {{89, 5, 10, 41}, 0.25}}, {2, {{89, 5, 10, 41}, 0.21}}, {19, {{88, 5, 11, 41}, 0.24}}, {13, {{88, 5, 11, 41}, 0.2}}, {8, {{88, 5, 11, 41}, 0.25}}, {9, {{88, 5, 11, 41}, 0.21}}}
Spinosaurus_.10, {{4, {{88, 5, 11, 41}, 0.27}}, {3, {{89, 5, 10, 41}, 0.34}}, {2, {{89, 5, 10, 41}, 0.33}}, {9, {{88, 5, 11, 41}, 0.31}}, {10, {{88, 5, 11, 41}, 0.3}}, {1, {{89, 5, 10, 41}, 0.35}}, {5, {{88, 5, 11, 41}, 0.36}}, {11, {{88, 5, 11, 41}, 0.34}}, {19, {{88, 5, 11, 41}, 0.33}}, {2, {{88, 5, 11, 41}, 0.26}}, {8, {{88, 5, 11, 41}, 0.35}}, {10, {{88, 5, 11, 41}, 0.32}}, {6, {{88, 5, 11, 41}, 0.28}}, {1, {{89, 5, 10, 41}, 0.27}}, {7, {{88, 5, 11, 41}, 0.29}}, {1, {{89, 5, 10, 41}, 0.3}}, {1, {{88, 5, 11, 41}, 0.37}}}
Spinosaurus_.9, {{8, {{89, 5, 10, 41}, 1.0}}, {92, {{88, 5, 11, 41}, 1.0}}}
Spinosaurus_.8, {{8, {{89, 5, 10, 41}, 1.0}}, {92, {{88, 5, 11, 41}, 1.0}}}
Spinosaurus_.7, {{8, {{89, 5, 10, 41}, 1.0}}, {92, {{88, 5, 11, 41}, 1.0}}}
Spinosaurus_.6, {{51, {{88, 5, 11, 41}, 0.99}}, {4, {{89, 5, 10, 41}, 0.98}}, {41, {{88, 5, 11, 41}, 0.98}}, {4, {{89, 5, 10, 41}, 0.99}}}
Spinosaurus_.5, {{8, {{89, 5, 10, 41}, 1.0}}, {92, {{88, 5, 11, 41}, 1.0}}}
Spinosaurus_.4, {{8, {{89, 5, 10, 41}, 1.0}}, {92, {{88, 5, 11, 41}, 1.0}}}
Spinosaurus_.3, {{8, {{89, 5, 10, 41}, 1.0}}, {92, {{88, 5, 11, 41}, 1.0}}}
Spinosaurus_.2, {{8, {{89, 5, 10, 41}, 1.0}}, {92, {{88, 5, 11, 41}, 1.0}}}
Spinosaurus_.1, {{76, {{88, 5, 11, 41}, 0.99}}, {16, {{88, 5, 11, 41}, 0.98}}, {8, {{89, 5, 10, 41}, 0.99}}}
Spinosaurus_, {{8, {{89, 5, 10, 41}, 1.0}}, {92, {{88, 5, 11, 41}, 1.0}}}
Baryonyx.3, {{4, {{89, 5, 10, 41}, 0.95}}, {4, {{88, 5, 11, 41}, 0.93}}, {26, {{88, 5, 11, 41}, 0.95}}, {4, {{89, 5, 10, 41}, 0.94}}, {62, {{88, 5, 11, 41}, 0.94}}}
Baryonyx.2, {{8, {{89, 5, 10, 41}, 1.0}}, {92, {{88, 5, 11, 41}, 1.0}}}
Baryonyx.1, {{8, {{89, 5, 10, 41}, 1.0}}, {92, {{88, 5, 11, 41}, 1.0}}}
Suchomimus.3, {{8, {{89, 5, 10, 41}, 0.01}}, {92, {{88, 5, 11, 41}, 0.01}}}
Suchomimus.2, {{1, {{89, 5, 10, 41}, 0.13}}, {28, {{88, 5, 11, 41}, 0.14}}, {19, {{88, 5, 11, 41}, 0.16}}, {4, {{88, 5, 11, 41}, 0.13}}, {4, {{88, 5, 11, 41}, 0.17}}, {4, {{89, 5, 10, 41}, 0.15}}, {37, {{88, 5, 11, 41}, 0.15}}, {2, {{89, 5, 10, 41}, 0.14}}, {1, {{89, 5, 10, 41}, 0.16}}}
Suchomimus.1, {{8, {{89, 5, 10, 41}, 0.01}}, {92, {{88, 5, 11, 41}, 0.01}}}
Suchomimus, {{9, {{88, 5, 11, 41}, 0.14}}, {33, {{88, 5, 11, 41}, 0.16}}, {1, {{89, 5, 10, 41}, 0.17}}, {14, {{88, 5, 11, 41}, 0.17}}, {2, {{89, 5, 10, 41}, 0.15}}, {36, {{88, 5, 11, 41}, 0.15}}, {1, {{89, 5, 10, 41}, 0.14}}, {4, {{89, 5, 10, 41}, 0.16}}}
Baryonyx, {{8, {{89, 5, 10, 41}, 1.0}}, {92, {{88, 5, 11, 41}, 1.0}}}
Condorraptor, {{8, {{89, 5, 10, 41}, 0.0}}, {92, {{88, 5, 11, 41}, 0.0}}}
Allosaurus_, {{8, {{89, 5, 10, 41}, 0.0}}, {92, {{88, 5, 11, 41}, 0.0}}}
Raphus, {{8, {{89, 5, 10, 41}, 0.01}}, {92, {{88, 5, 11, 41}, 0.01}}}
Porphyrio_hochstetteri, {{8, {{89, 5, 10, 41}, 0.0}}, {92, {{88, 5, 11, 41}, 0.0}}}
Tribonyx_mortieri, {{8, {{89, 5, 10, 41}, 0.0}}, {92, {{88, 5, 11, 41}, 0.0}}}
Aptenodytes______, {{8, {{89, 5, 10, 41}, 1.0}}, {92, {{88, 5, 11, 41}, 1.0}}}
Mus_musculus, {{76, {{87, 4, 9, 45}, 0.0}}, {24, {{88, 4, 8, 45}, 0.0}}}
Diplomesodon_pulchellum, {{51, {{87, 4, 9, 45}, 0.89}}, {22, {{88, 4, 8, 45}, 0.89}}, {25, {{87, 4, 9, 45}, 0.88}}, {2, {{88, 4, 8, 45}, 0.88}}}
Procyon_lotor, {{21, {{87, 4, 9, 45}, 0.07}}, {1, {{88, 4, 8, 45}, 0.07}}, {1, {{88, 4, 8, 45}, 0.05}}, {55, {{87, 4, 9, 45}, 0.06}}, {22, {{88, 4, 8, 45}, 0.06}}}
Bison_bonasus, {{76, {{87, 4, 9, 45}, 0.0}}, {24, {{88, 4, 8, 45}, 0.0}}}
Chapsosaurus_, {{76, {{87, 4, 9, 45}, 1.0}}, {24, {{88, 4, 8, 45}, 1.0}}}
Sphenodon_punctatus, {{35, {{87, 4, 9, 45}, 0.93}}, {17, {{88, 4, 8, 45}, 0.93}}, {41, {{87, 4, 9, 45}, 0.92}}, {7, {{88, 4, 8, 45}, 0.92}}}
Dyrosaurid, {{76, {{87, 4, 9, 45}, 0.02}}, {24, {{88, 4, 8, 45}, 0.02}}}
Dysalotosaurus, {{1, {{87, 4, 9, 45}, 0.81}}, {12, {{87, 4, 9, 45}, 0.82}}, {33, {{87, 4, 9, 45}, 0.84}}, {4, {{88, 4, 8, 45}, 0.82}}, {8, {{88, 4, 8, 45}, 0.84}}, {27, {{87, 4, 9, 45}, 0.83}}, {10, {{88, 4, 8, 45}, 0.83}}, {3, {{87, 4, 9, 45}, 0.85}}, {2, {{88, 4, 8, 45}, 0.85}}}
Lepidus, {{76, {{87, 4, 9, 45}, 0.0}}, {24, {{88, 4, 8, 45}, 0.0}}}
Spinosaurus_.11, {{4, {{87, 4, 9, 45}, 0.14}}, {10, {{87, 4, 9, 45}, 0.16}}, {1, {{88, 4, 8, 45}, 0.14}}, {6, {{88, 4, 8, 45}, 0.16}}, {6, {{87, 4, 9, 45}, 0.13}}, {9, {{87, 4, 9, 45}, 0.19}}, {7, {{88, 4, 8, 45}, 0.19}}, {18, {{87, 4, 9, 45}, 0.17}}, {14, {{87, 4, 9, 45}, 0.18}}, {2, {{88, 4, 8, 45}, 0.17}}, {1, {{88, 4, 8, 45}, 0.18}}, {4, {{87, 4, 9, 45}, 0.2}}, {9, {{87, 4, 9, 45}, 0.15}}, {3, {{88, 4, 8, 45}, 0.2}}, {2, {{87, 4, 9, 45}, 0.21}}, {4, {{88, 4, 8, 45}, 0.15}}}
Spinosaurus_.10, {{2, {{88, 4, 8, 45}, 0.29}}, {11, {{87, 4, 9, 45}, 0.27}}, {4, {{88, 4, 8, 45}, 0.27}}, {2, {{87, 4, 9, 45}, 0.3}}, {2, {{88, 4, 8, 45}, 0.3}}, {2, {{87, 4, 9, 45}, 0.19}}, {15, {{87, 4, 9, 45}, 0.26}}, {1, {{88, 4, 8, 45}, 0.26}}, {6, {{87, 4, 9, 45}, 0.22}}, {9, {{87, 4, 9, 45}, 0.23}}, {5, {{87, 4, 9, 45}, 0.28}}, {2, {{88, 4, 8, 45}, 0.22}}, {1, {{88, 4, 8, 45}, 0.23}}, {6, {{88, 4, 8, 45}, 0.28}}, {7, {{87, 4, 9, 45}, 0.24}}, {2, {{87, 4, 9, 45}, 0.2}}, {8, {{87, 4, 9, 45}, 0.25}}, {4, {{88, 4, 8, 45}, 0.24}}, {1, {{88, 4, 8, 45}, 0.2}}, {1, {{88, 4, 8, 45}, 0.25}}, {6, {{87, 4, 9, 45}, 0.21}}, {3, {{87, 4, 9, 45}, 0.29}}}
Spinosaurus_.9, {{76, {{87, 4, 9, 45}, 1.0}}, {24, {{88, 4, 8, 45}, 1.0}}}
Spinosaurus_.8, {{76, {{87, 4, 9, 45}, 1.0}}, {24, {{88, 4, 8, 45}, 1.0}}}
Spinosaurus_.7, {{76, {{87, 4, 9, 45}, 1.0}}, {24, {{88, 4, 8, 45}, 1.0}}}
Spinosaurus_.6, {{4, {{88, 4, 8, 45}, 0.99}}, {2, {{87, 4, 9, 45}, 0.97}}, {74, {{87, 4, 9, 45}, 0.98}}, {20, {{88, 4, 8, 45}, 0.98}}}
Spinosaurus_.5, {{76, {{87, 4, 9, 45}, 1.0}}, {24, {{88, 4, 8, 45}, 1.0}}}
Spinosaurus_.4, {{76, {{87, 4, 9, 45}, 1.0}}, {24, {{88, 4, 8, 45}, 1.0}}}
Spinosaurus_.3, {{76, {{87, 4, 9, 45}, 1.0}}, {24, {{88, 4, 8, 45}, 1.0}}}
Spinosaurus_.2, {{76, {{87, 4, 9, 45}, 1.0}}, {24, {{88, 4, 8, 45}, 1.0}}}
Spinosaurus_.1, {{10, {{87, 4, 9, 45}, 0.99}}, {6, {{88, 4, 8, 45}, 0.99}}, {66, {{87, 4, 9, 45}, 0.98}}, {18, {{88, 4, 8, 45}, 0.98}}}
