Spinosaurus_.6, {{41, 0.94}, {4, 0.92}, {27, 0.95}, {28, 0.93}}
Spinosaurus_.5, {{100, 1.0}}
Spinosaurus_.4, {{100, 1.0}}
Spinosaurus_.3, {{100, 1.0}}
Spinosaurus_.2, {{18, 0.98}, {82, 0.99}}
Spinosaurus_.1, {{35, 0.95}, {41, 0.94}, {24, 0.93}}
Spinosaurus_, {{100, 1.0}}
Baryonyx.3, {{46, 0.85}, {48, 0.86}, {1, 0.84}, {5, 0.87}}
Baryonyx.2, {{100, 0.98}}
Baryonyx.1, {{100, 1.0}}
Suchomimus.3, {{23, 0.03}, {76, 0.04}, {1, 0.05}}
Suchomimus.2, {{11, 0.22}, {3, 0.18}, {45, 0.2}, {2, 0.23}, {28, 0.21}, {11, 0.19}}
Suchomimus.1, {{83, 0.04}, {16, 0.03}, {1, 0.05}}
Suchomimus, {{20, 0.22}, {1, 0.18}, {36, 0.2}, {3, 0.23}, {33, 0.21}, {7, 0.19}}
Baryonyx, {{100, 1.0}}
Oviraptor_, {{100, 0.0}}
Apteryx_australis, {{13, 0.06}, {87, 0.05}}
Crypturellus_tataupa, {{100, 0.01}}
Anseranas_semipalmata, {{100, 0.0}}
Tribonyx_mortieri, {{100, 0.03}}
Glareola_pratincola, {{100, 0.0}}
large_eocene_stem_penguin, {{100, 1.0}}
Spheniscus, {{100, 1.0}}
Tenrec_ecaudatus, {{29, 0.94}, {71, 0.95}}
Noemys_fodies, {{36, 0.56}, {3, 0.54}, {57, 0.55}, {4, 0.57}}
Lutra_vulgaris, {{100, 0.99}}
Remingtonocetus, {{52, 0.78}, {43, 0.79}, {3, 0.77}, {2, 0.8}}
Capreolus_capreolus, {{100, 0.0}}
Nothosaurus_mirabilis_1, {{53, 0.98}, {47, 0.97}}
Nothosaurus_150, {{100, 1.0}}
Protochampsidae, {{23, 0.12}, {40, 0.11}, {34, 0.1}, {1, 0.09}, {2, 0.13}}
Poposaurus, {{100, 0.0}}
Dyrosaurid, {{78, 0.01}, {22, 0.02}}
Asilisaurus, {{100, 0.0}}
Scutellosaurus_lawleri, {{1, 0.15}, {33, 0.12}, {27, 0.11}, {26, 0.13}, {4, 0.1}, {9, 0.14}}
Masiakasaurus, {{100, 0.0}}
Spinosaurus_.11, {{4, 0.14}, {1, 0.07}, {22, 0.1}, {14, 0.11}, {22, 0.09}, {7, 0.08}, {19, 0.12}, {11, 0.13}}
Spinosaurus_.10, {{1, 0.21}, {16, 0.18}, {9, 0.15}, {2, 0.2}, {16, 0.17}, {12, 0.16}, {4, 0.12}, {16, 0.13}, {14, 0.14}, {10, 0.19}}
Spinosaurus_.9, {{100, 1.0}}
Spinosaurus_.8, {{100, 1.0}}
Spinosaurus_.7, {{60, 0.99}, {40, 1.0}}
Spinosaurus_.6, {{29, 0.95}, {5, 0.94}, {58, 0.96}, {8, 0.97}}
Spinosaurus_.5, {{100, 1.0}}
Spinosaurus_.4, {{100, 1.0}}
Spinosaurus_.3, {{100, 1.0}}
Spinosaurus_.2, {{35, 0.99}, {65, 1.0}}
Spinosaurus_.1, {{19, 0.95}, {50, 0.96}, {31, 0.97}}
Spinosaurus_, {{100, 1.0}}
Baryonyx.3, {{56, 0.85}, {25, 0.86}, {12, 0.84}, {7, 0.87}}
Baryonyx.2, {{100, 0.99}}
Baryonyx.1, {{100, 1.0}}
Suchomimus.3, {{23, 0.0}, {77, 0.01}}
Suchomimus.2, {{62, 0.07}, {2, 0.09}, {15, 0.06}, {21, 0.08}}
Suchomimus.1, {{13, 0.0}, {87, 0.01}}
Suchomimus, {{56, 0.07}, {5, 0.09}, {5, 0.06}, {34, 0.08}}
Baryonyx, {{100, 1.0}}
Troodon_formosus, {{6, 0.28}, {9, 0.24}, {31, 0.26}, {31, 0.27}, {1, 0.23}, {21, 0.25}, {1, 0.29}}
Psophia_crepitans_napensis, {{100, 0.0}}
Atlantisia_rogersi, {{100, 0.0}}
