Baryonyx.2, {{100, 1.0}}
Baryonyx.1, {{100, 1.0}}
Suchomimus.3, {{100, 0.01}}
Suchomimus.2, {{15, 0.15}, {15, 0.12}, {4, 0.16}, {30, 0.13}, {1, 0.11}, {35, 0.14}}
Suchomimus.1, {{100, 0.01}}
Suchomimus, {{28, 0.15}, {2, 0.17}, {8, 0.12}, {4, 0.16}, {25, 0.13}, {1, 0.11}, {32, 0.14}}
Baryonyx, {{100, 1.0}}
Tyrannotitan, {{23, 0.28}, {4, 0.3}, {2, 0.24}, {21, 0.26}, {31, 0.27}, {2, 0.29}, {16, 0.25}, {1, 0.23}}
Oviraptor_caenagnathid, {{100, 0.0}}
Gobiraptor_, {{99, 0.0}, {1, 0.01}}
Rahonavis, {{100, 0.0}}
Gallus_domesticus, {{100, 0.0}}
Anseranas_semipalmata, {{100, 0.0}}
Xenicus_longipes, {{100, 0.0}}
Chironectes_minimus, {{100, 0.99}}
Procavia_capensis, {{34, 0.28}, {16, 0.26}, {50, 0.27}}
Ursus_maritimus, {{86, 0.01}, {14, 0.02}}
Remingtonocetus, {{47, 0.84}, {52, 0.83}, {1, 0.82}}
Rodhocetus, {{100, 1.0}}
Alces_americanus, {{100, 0.01}}
Cricosaurus, {{100, 1.0}}
Dyrosaurid, {{1, 0.03}, {99, 0.02}}
Asilisaurus, {{100, 0.0}}
Spinosaurus_.11, {{1, 0.21}, {12, 0.18}, {12, 0.15}, {6, 0.2}, {22, 0.17}, {13, 0.16}, {2, 0.12}, {3, 0.13}, {12, 0.14}, {17, 0.19}}
Spinosaurus_.10, {{16, 0.26}, {10, 0.25}, {4, 0.28}, {8, 0.22}, {12, 0.2}, {1, 0.18}, {9, 0.27}, {9, 0.21}, {5, 0.19}, {11, 0.24}, {12, 0.23}, {3, 0.29}}
Spinosaurus_.9, {{100, 1.0}}
Spinosaurus_.8, {{100, 1.0}}
Spinosaurus_.7, {{100, 1.0}}
Spinosaurus_.6, {{38, 0.98}, {3, 0.96}, {59, 0.97}}
Spinosaurus_.5, {{100, 1.0}}
Spinosaurus_.4, {{100, 1.0}}
Spinosaurus_.3, {{100, 1.0}}
Spinosaurus_.2, {{100, 1.0}}
Spinosaurus_.1, {{45, 0.98}, {55, 0.97}}
Spinosaurus_, {{100, 1.0}}
Baryonyx.3, {{26, 0.92}, {59, 0.91}, {14, 0.9}, {1, 0.93}}
Baryonyx.2, {{64, 0.99}, {36, 1.0}}
Baryonyx.1, {{100, 1.0}}
Suchomimus.3, {{96, 0.01}, {4, 0.02}}
Suchomimus.2, {{8, 0.15}, {23, 0.12}, {3, 0.16}, {33, 0.13}, {6, 0.11}, {27, 0.14}}
Suchomimus.1, {{97, 0.01}, {3, 0.02}}
Suchomimus, {{10, 0.15}, {22, 0.12}, {3, 0.16}, {30, 0.13}, {4, 0.11}, {31, 0.14}}
Baryonyx, {{100, 1.0}}
Torvosaurus, {{10, 0.85}, {4, 0.81}, {26, 0.84}, {42, 0.83}, {18, 0.82}}
Condorraptor, {{100, 0.0}}
Oviraptor_, {{100, 0.0}}
Tinamou, {{100, 0.0}}
Meleagris, {{100, 0.0}}
Anas_discors, {{100, 0.0}}
Palaeospheniscus, {{100, 0.99}}
Dasyurus_maculatus, {{17, 0.68}, {83, 0.67}}
Tenrec_ecaudatus, {{100, 0.97}}
Microgale_thomasi, {{2, 0.0}, {98, 0.01}}
Mustela_nivalis, {{4, 0.04}, {96, 0.05}}
Paguma_larvata, {{84, 0.07}, {14, 0.08}, {2, 0.06}}
Syncerus_caffer, {{39, 0.53}, {2, 0.54}, {41, 0.52}, {2, 0.5}, {16, 0.51}}
Placondontia_indet, {{100, 1.0}}
Pterosaur_Tremp, {{100, 0.0}}
Lepidus, {{100, 0.0}}
Spinosaurus_.11, {{1, 0.21}, {17, 0.18}, {9, 0.15}, {6, 0.2}, {26, 0.17}, {16, 0.16}, {2, 0.13}, {7, 0.14}, {16, 0.19}}
Spinosaurus_.10, {{11, 0.26}, {17, 0.25}, {10, 0.28}, {14, 0.22}, {1, 0.2}, {14, 0.27}, {10, 0.21}, {1, 0.19}, {9, 0.24}, {10, 0.23}, {3, 0.29}}
Spinosaurus_.9, {{100, 1.0}}
Spinosaurus_.8, {{100, 1.0}}
Spinosaurus_.7, {{100, 1.0}}
Spinosaurus_.6, {{24, 0.98}, {76, 0.97}}
Spinosaurus_.5, {{100, 1.0}}
Spinosaurus_.4, {{100, 1.0}}
Spinosaurus_.3, {{100, 1.0}}
Spinosaurus_.2, {{100, 1.0}}
Spinosaurus_.1, {{71, 0.98}, {29, 0.97}}
Spinosaurus_, {{100, 1.0}}
Baryonyx.3, {{5, 0.88}, {5, 0.91}, {52, 0.9}, {38, 0.89}}
Baryonyx.2, {{94, 0.99}, {6, 1.0}}
Baryonyx.1, {{100, 1.0}}
Suchomimus.3, {{100, 0.01}}
Suchomimus.2, {{44, 0.1}, {30, 0.11}, {20, 0.09}, {4, 0.12}, {2, 0.08}}
Suchomimus.1, {{100, 0.01}}
Suchomimus, {{33, 0.1}, {42, 0.11}, {4, 0.13}, {19, 0.12}, {2, 0.09}}
Baryonyx, {{100, 1.0}}
Deinonychus, {{27, 0.07}, {6, 0.09}, {67, 0.08}}
Hesperornis, {{88, 0.94}, {9, 0.95}, {3, 0.93}}
Raphus, {{23, 0.01}, {77, 0.02}}
Porphyrio_hochstetteri, {{100, 0.0}}
Porphyrio_Poliocephalus, {{100, 0.0}}
Phalacrocorax_harrisi, {{62, 0.18}, {36, 0.17}, {2, 0.19}}
Pelagodroma_marina, {{100, 0.0}}
Maiacetus, {{100, 1.0}}
Cephalophus_silvicultor, {{3, 0.04}, {97, 0.05}}
Chapsosaurus_, {{100, 1.0}}
Protochampsidae, {{1, 0.22}, {9, 0.18}, {38, 0.2}, {17, 0.21}, {35, 0.19}}
Ramphorynchus, {{1, 0.1}, {49, 0.09}, {50, 0.08}}
Scutellosaurus_lawleri, {{6, 0.22}, {14, 0.18}, {33, 0.2}, {28, 0.21}, {19, 0.19}}
Syntarsus_, {{100, 0.0}}
Spinosaurus_.11, {{2, 0.14}, {3, 0.22}, {7, 0.15}, {22, 0.18}, {18, 0.2}, {11, 0.17}, {15, 0.16}, {1, 0.13}, {5, 0.21}, {16, 0.19}}
Spinosaurus_.10, {{2, 0.3}, {10, 0.26}, {15, 0.25}, {9, 0.28}, {13, 0.22}, {3, 0.2}, {17, 0.27}, {7, 0.21}, {1, 0.19}, {8, 0.24}, {6, 0.29}, {9, 0.23}}
