Phalacrocorax_harris, {{100, {{50, 5, 2, 26}, 0.98}}}
Vombatus_ursinus, {{100, {{50, 5, 2, 26}, 0.98}}}
Ashoroa_laticosta, {{100, {{50, 5, 2, 26}, 1.0}}}
Erinaceus_europaeus, {{100, {{50, 5, 2, 26}, 0.0}}}
Felis_silvestris, {{100, {{50, 5, 2, 26}, 0.0}}}
Neovison_vison, {{8, {{50, 5, 2, 26}, 0.04}}, {92, {{50, 5, 2, 26}, 0.05}}}
Sus_scrofa, {{100, {{50, 5, 2, 26}, 0.0}}}
Capra_aegagrus, {{2, {{50, 5, 2, 26}, 0.58}}, {98, {{50, 5, 2, 26}, 0.59}}}
Neusticosaurus, {{100, {{49, 5, 3, 26}, 1.0}}}
Baryonyx.1, {{100, {{49, 5, 3, 26}, 0.99}}}
Spinosaurus.3, {{60, {{49, 5, 3, 26}, 1.0}}, {40, {{49, 5, 3, 26}, 0.99}}}
Spinosaurus.2, {{100, {{49, 5, 3, 26}, 1.0}}}
Spinosaurus.1, {{100, {{49, 5, 3, 26}, 0.99}}}
Baryonyx, {{100, {{49, 5, 3, 26}, 1.0}}}
Spinosaurus, {{100, {{49, 5, 3, 26}, 1.0}}}
Macropus_rufus, {{100, {{49, 5, 3, 26}, 0.37}}}
Panthera_leo_persica, {{100, {{49, 5, 3, 26}, 0.0}}}
Canis_lupus, {{100, {{49, 5, 3, 26}, 0.01}}}
Ursus_spelaeus, {{100, {{49, 5, 3, 26}, 0.96}}}
Nanophoca_vitulinoides, {{100, {{49, 5, 3, 26}, 1.0}}}
Camelus_bactrianus, {{56, {{49, 5, 3, 26}, 0.05}}, {44, {{49, 5, 3, 26}, 0.04}}}
Choeropsis_liberiensis, {{100, {{49, 5, 3, 26}, 0.45}}}
Bison_bison, {{100, {{49, 5, 3, 26}, 0.07}}}
Serpianosaurus, {{100, {{50, 6, 4, 23}, 1.0}}}
Baryonyx.1, {{100, {{50, 6, 4, 23}, 0.99}}}
Spinosaurus.3, {{100, {{50, 6, 4, 23}, 0.99}}}
Spinosaurus.2, {{100, {{50, 6, 4, 23}, 1.0}}}
Spinosaurus.1, {{100, {{50, 6, 4, 23}, 0.99}}}
Baryonyx, {{100, {{50, 6, 4, 23}, 1.0}}}
Spinosaurus, {{100, {{50, 6, 4, 23}, 1.0}}}
Choloepus_didactylus, {{100, {{50, 6, 4, 23}, 0.0}}}
Tenrec_ecaudatus, {{100, {{50, 6, 4, 23}, 0.14}}}
Trichechus_manatus, {{100, {{50, 6, 4, 23}, 1.0}}}
Castor_fiber, {{100, {{50, 6, 4, 23}, 0.98}}}
Hydromys_chrysogaster, {{25, {{50, 6, 4, 23}, 0.92}}, {75, {{50, 6, 4, 23}, 0.91}}}
Desmana_moschata, {{100, {{50, 6, 4, 23}, 0.97}}}
Martes_martes, {{100, {{50, 6, 4, 23}, 0.02}}}
Ovis_aries, {{100, {{50, 6, 4, 23}, 0.02}}}
