Spinosaurus.3, {{100, {{50, 5, 4, 24}, 0.99}}}
Spinosaurus.2, {{100, {{50, 5, 4, 24}, 1.0}}}
Spinosaurus.1, {{100, {{50, 5, 4, 24}, 0.98}}}
Baryonyx, {{100, {{50, 5, 4, 24}, 1.0}}}
Spinosaurus, {{100, {{50, 5, 4, 24}, 1.0}}}
Ornithorhynchus_anatinus, {{100, {{50, 5, 4, 24}, 0.99}}}
Perameles_nasuta, {{100, {{50, 5, 4, 24}, 0.06}}}
Ashoroa_laticosta, {{100, {{50, 5, 4, 24}, 1.0}}}
Myoprocta_pratti, {{100, {{50, 5, 4, 24}, 0.0}}}
Canis_lupus, {{100, {{50, 5, 4, 24}, 0.01}}}
Vulpes_vulpes, {{100, {{50, 5, 4, 24}, 0.0}}}
Tapirus_terrestris, {{100, {{50, 5, 4, 24}, 0.57}}}
Choeropsis_liberiensis, {{86, {{50, 5, 4, 24}, 0.31}}, {14, {{50, 5, 4, 24}, 0.32}}}
Baryonyx.1, {{100, {{49, 6, 4, 24}, 1.0}}}
Spinosaurus.3, {{100, {{49, 6, 4, 24}, 1.0}}}
Spinosaurus.2, {{100, {{49, 6, 4, 24}, 1.0}}}
Spinosaurus.1, {{100, {{49, 6, 4, 24}, 1.0}}}
Baryonyx, {{100, {{49, 6, 4, 24}, 1.0}}}
Spinosaurus, {{100, {{49, 6, 4, 24}, 1.0}}}
Casuarius_casuarius, {{100, {{49, 6, 4, 24}, 0.02}}}
Phalacrocorax_harris, {{99, {{49, 6, 4, 24}, 0.96}}, {1, {{49, 6, 4, 24}, 0.97}}}
Zaglossus_bruijni, {{100, {{49, 6, 4, 24}, 0.0}}}
Choloepus_didactylus, {{100, {{49, 6, 4, 24}, 0.0}}}
Dugong_dugon, {{100, {{49, 6, 4, 24}, 1.0}}}
Trichechus_manatus, {{100, {{49, 6, 4, 24}, 1.0}}}
Felis_silvestris, {{100, {{49, 6, 4, 24}, 0.01}}}
Nanophoca_vitulinoides, {{100, {{49, 6, 4, 24}, 1.0}}}
Rangifer_tarandus, {{99, {{49, 6, 4, 24}, 0.37}}, {1, {{49, 6, 4, 24}, 0.36}}}
