Spinosaurus.3, {{100, {{56, 7, 2, 27}, 1.0}}}
Spinosaurus.2, {{100, {{56, 7, 2, 27}, 1.0}}}
Spinosaurus.1, {{100, {{56, 7, 2, 27}, 1.0}}}
Baryonyx, {{100, {{56, 7, 2, 27}, 1.0}}}
Spinosaurus, {{100, {{56, 7, 2, 27}, 1.0}}}
Baryonyx.1, {{100, {{56, 4, 2, 30}, 1.0}}}
Spinosaurus.3, {{100, {{56, 4, 2, 30}, 1.0}}}
Spinosaurus.2, {{100, {{56, 4, 2, 30}, 1.0}}}
Spinosaurus.1, {{100, {{56, 4, 2, 30}, 1.0}}}
Baryonyx, {{100, {{56, 4, 2, 30}, 1.0}}}
Spinosaurus, {{100, {{56, 4, 2, 30}, 1.0}}}
Baryonyx.1, {{100, {{55, 9, 3, 25}, 0.98}}}
Spinosaurus.3, {{100, {{55, 9, 3, 25}, 0.98}}}
Spinosaurus.2, {{100, {{55, 9, 3, 25}, 1.0}}}
Spinosaurus.1, {{99, {{55, 9, 3, 25}, 0.98}}, {1, {{55, 9, 3, 25}, 0.97}}}
Baryonyx, {{100, {{55, 9, 3, 25}, 1.0}}}
Spinosaurus, {{100, {{55, 9, 3, 25}, 1.0}}}
Baryonyx.1, {{100, {{51, 8, 7, 26}, 0.98}}}
Spinosaurus.3, {{100, {{51, 8, 7, 26}, 0.98}}}
Spinosaurus.2, {{100, {{51, 8, 7, 26}, 1.0}}}
Spinosaurus.1, {{100, {{51, 8, 7, 26}, 0.98}}}
Baryonyx, {{100, {{51, 8, 7, 26}, 1.0}}}
Spinosaurus, {{100, {{51, 8, 7, 26}, 1.0}}}
Baryonyx.1, {{100, {{53, 6, 5, 28}, 1.0}}}
Spinosaurus.3, {{100, {{53, 6, 5, 28}, 1.0}}}
Spinosaurus.2, {{100, {{53, 6, 5, 28}, 1.0}}}
Spinosaurus.1, {{36, {{53, 6, 5, 28}, 0.99}}, {64, {{53, 6, 5, 28}, 1.0}}}
Baryonyx, {{100, {{53, 6, 5, 28}, 1.0}}}
Spinosaurus, {{100, {{53, 6, 5, 28}, 1.0}}}
Baryonyx.1, {{100, {{54, 8, 4, 26}, 0.97}}}
Spinosaurus.3, {{100, {{54, 8, 4, 26}, 0.97}}}
Spinosaurus.2, {{100, {{54, 8, 4, 26}, 1.0}}}
Spinosaurus.1, {{100, {{54, 8, 4, 26}, 0.96}}}
Baryonyx, {{100, {{54, 8, 4, 26}, 1.0}}}
Spinosaurus, {{100, {{54, 8, 4, 26}, 1.0}}}
Baryonyx.1, {{100, {{54, 4, 4, 30}, 0.99}}}
Spinosaurus.3, {{100, {{54, 4, 4, 30}, 0.99}}}
Spinosaurus.2, {{100, {{54, 4, 4, 30}, 1.0}}}
Spinosaurus.1, {{100, {{54, 4, 4, 30}, 0.99}}}
Baryonyx, {{100, {{54, 4, 4, 30}, 1.0}}}
Spinosaurus, {{100, {{54, 4, 4, 30}, 1.0}}}
Baryonyx.1, {{100, {{50, 7, 8, 27}, 0.92}}}
Spinosaurus.3, {{90, {{50, 7, 8, 27}, 0.92}}, {10, {{50, 7, 8, 27}, 0.93}}}
Spinosaurus.2, {{100, {{50, 7, 8, 27}, 0.99}}}
Spinosaurus.1, {{100, {{50, 7, 8, 27}, 0.92}}}
Baryonyx, {{100, {{50, 7, 8, 27}, 0.99}}}
Spinosaurus, {{100, {{50, 7, 8, 27}, 0.99}}}
Baryonyx.1, {{100, {{56, 4, 2, 30}, 1.0}}}
Spinosaurus.3, {{100, {{56, 4, 2, 30}, 1.0}}}
Spinosaurus.2, {{100, {{56, 4, 2, 30}, 1.0}}}
Spinosaurus.1, {{100, {{56, 4, 2, 30}, 1.0}}}
Baryonyx, {{100, {{56, 4, 2, 30}, 1.0}}}
Spinosaurus, {{100, {{56, 4, 2, 30}, 1.0}}}
Baryonyx.1, {{100, {{54, 6, 4, 28}, 0.99}}}
Spinosaurus.3, {{100, {{54, 6, 4, 28}, 0.99}}}
Spinosaurus.2, {{100, {{54, 6, 4, 28}, 1.0}}}
Spinosaurus.1, {{100, {{54, 6, 4, 28}, 0.99}}}
Baryonyx, {{100, {{54, 6, 4, 28}, 1.0}}}
Spinosaurus, {{100, {{54, 6, 4, 28}, 1.0}}}
Baryonyx.1, {{91, {{55, 6, 3, 28}, 0.99}}, {9, {{55, 6, 3, 28}, 1.0}}}
Spinosaurus.3, {{22, {{55, 6, 3, 28}, 0.99}}, {78, {{55, 6, 3, 28}, 1.0}}}
Spinosaurus.2, {{100, {{55, 6, 3, 28}, 1.0}}}
Spinosaurus.1, {{100, {{55, 6, 3, 28}, 0.99}}}
Baryonyx, {{100, {{55, 6, 3, 28}, 1.0}}}
Spinosaurus, {{100, {{55, 6, 3, 28}, 1.0}}}
Baryonyx.1, {{100, {{52, 7, 6, 27}, 0.9}}}
Spinosaurus.3, {{100, {{52, 7, 6, 27}, 0.9}}}
Spinosaurus.2, {{100, {{52, 7, 6, 27}, 0.99}}}
Spinosaurus.1, {{1, {{52, 7, 6, 27}, 0.9}}, {99, {{52, 7, 6, 27}, 0.91}}}
Baryonyx, {{97, {{52, 7, 6, 27}, 0.99}}, {3, {{52, 7, 6, 27}, 1.0}}}
Spinosaurus, {{100, {{52, 7, 6, 27}, 0.99}}}
Baryonyx.1, {{100, {{55, 4, 3, 30}, 0.99}}}
Spinosaurus.3, {{80, {{55, 4, 3, 30}, 1.0}}, {20, {{55, 4, 3, 30}, 0.99}}}
Spinosaurus.2, {{100, {{55, 4, 3, 30}, 1.0}}}
Spinosaurus.1, {{100, {{55, 4, 3, 30}, 0.99}}}
Baryonyx, {{100, {{55, 4, 3, 30}, 1.0}}}
Spinosaurus, {{100, {{55, 4, 3, 30}, 1.0}}}
Baryonyx.1, {{100, {{52, 8, 6, 26}, 0.96}}}
Spinosaurus.3, {{1, {{52, 8, 6, 26}, 0.97}}, {99, {{52, 8, 6, 26}, 0.96}}}
Spinosaurus.2, {{100, {{52, 8, 6, 26}, 1.0}}}
Spinosaurus.1, {{1, {{52, 8, 6, 26}, 0.95}}, {99, {{52, 8, 6, 26}, 0.96}}}
Baryonyx, {{100, {{52, 8, 6, 26}, 1.0}}}
Spinosaurus, {{100, {{52, 8, 6, 26}, 1.0}}}
Baryonyx.1, {{100, {{53, 8, 5, 26}, 1.0}}}
Spinosaurus.3, {{100, {{53, 8, 5, 26}, 1.0}}}
Spinosaurus.2, {{100, {{53, 8, 5, 26}, 1.0}}}
Spinosaurus.1, {{100, {{53, 8, 5, 26}, 1.0}}}
Baryonyx, {{100, {{53, 8, 5, 26}, 1.0}}}
Spinosaurus, {{100, {{53, 8, 5, 26}, 1.0}}}
Baryonyx.1, {{100, {{52, 9, 6, 25}, 0.98}}}
Spinosaurus.3, {{2, {{52, 9, 6, 25}, 0.99}}, {98, {{52, 9, 6, 25}, 0.98}}}
Spinosaurus.2, {{100, {{52, 9, 6, 25}, 1.0}}}
Spinosaurus.1, {{100, {{52, 9, 6, 25}, 0.98}}}
