Spinosaurus_.10, {{18, {{89, 5, 8, 43}, 0.26}}, {18, {{89, 5, 8, 43}, 0.22}}, {9, {{89, 5, 8, 43}, 0.23}}, {3, {{89, 5, 8, 43}, 0.28}}, {11, {{89, 5, 8, 43}, 0.24}}, {2, {{89, 5, 8, 43}, 0.2}}, {15, {{89, 5, 8, 43}, 0.25}}, {10, {{89, 5, 8, 43}, 0.21}}, {1, {{89, 5, 8, 43}, 0.29}}, {13, {{89, 5, 8, 43}, 0.27}}}
Spinosaurus_.9, {{100, {{89, 5, 8, 43}, 1.0}}}
Spinosaurus_.8, {{100, {{89, 5, 8, 43}, 1.0}}}
Spinosaurus_.7, {{100, {{89, 5, 8, 43}, 1.0}}}
Spinosaurus_.6, {{55, {{89, 5, 8, 43}, 0.98}}, {45, {{89, 5, 8, 43}, 0.99}}}
Spinosaurus_.5, {{100, {{89, 5, 8, 43}, 1.0}}}
Spinosaurus_.4, {{100, {{89, 5, 8, 43}, 1.0}}}
Spinosaurus_.3, {{100, {{89, 5, 8, 43}, 1.0}}}
Spinosaurus_.2, {{100, {{89, 5, 8, 43}, 1.0}}}
Spinosaurus_.1, {{21, {{89, 5, 8, 43}, 0.98}}, {79, {{89, 5, 8, 43}, 0.99}}}
Spinosaurus_, {{100, {{89, 5, 8, 43}, 1.0}}}
Baryonyx.3, {{82, {{89, 5, 8, 43}, 0.93}}, {17, {{89, 5, 8, 43}, 0.94}}, {1, {{89, 5, 8, 43}, 0.92}}}
Baryonyx.2, {{100, {{89, 5, 8, 43}, 1.0}}}
Baryonyx.1, {{100, {{89, 5, 8, 43}, 1.0}}}
Suchomimus.3, {{7, {{89, 5, 8, 43}, 0.0}}, {93, {{89, 5, 8, 43}, 0.01}}}
Suchomimus.2, {{30, {{89, 5, 8, 43}, 0.09}}, {2, {{89, 5, 8, 43}, 0.08}}, {54, {{89, 5, 8, 43}, 0.1}}, {1, {{89, 5, 8, 43}, 0.12}}, {13, {{89, 5, 8, 43}, 0.11}}}
Suchomimus.1, {{3, {{89, 5, 8, 43}, 0.0}}, {97, {{89, 5, 8, 43}, 0.01}}}
Suchomimus, {{8, {{89, 5, 8, 43}, 0.09}}, {56, {{89, 5, 8, 43}, 0.1}}, {5, {{89, 5, 8, 43}, 0.12}}, {31, {{89, 5, 8, 43}, 0.11}}}
Baryonyx, {{100, {{89, 5, 8, 43}, 1.0}}}
Condorraptor, {{100, {{89, 5, 8, 43}, 0.0}}}
Oviraptor_caenagnathid, {{100, {{89, 5, 8, 43}, 0.0}}}
Sarothrura_rufa, {{100, {{89, 5, 8, 43}, 0.01}}}
Porzana_carolina, {{100, {{89, 5, 8, 43}, 0.0}}}
Xenicus_giliventris, {{100, {{89, 5, 8, 43}, 0.0}}}
Phoenicopterus_roseus, {{100, {{89, 5, 8, 43}, 0.0}}}
Desmana_moschata, {{100, {{88, 5, 10, 42}, 1.0}}}
Procyon_lotor, {{1, {{88, 5, 10, 42}, 0.07}}, {21, {{88, 5, 10, 42}, 0.09}}, {78, {{88, 5, 10, 42}, 0.08}}}
Chapsosaurus_, {{100, {{88, 5, 10, 42}, 1.0}}}
Nothosaurus_102, {{100, {{88, 5, 10, 42}, 1.0}}}
Sphenodon_punctatus, {{100, {{88, 5, 10, 42}, 0.94}}}
Fruitadens, {{100, {{88, 5, 10, 42}, 0.01}}}
Dysalotosaurus, {{23, {{88, 5, 10, 42}, 0.88}}, {58, {{88, 5, 10, 42}, 0.87}}, {19, {{88, 5, 10, 42}, 0.86}}}
Syntarsus_, {{100, {{88, 5, 10, 42}, 0.0}}}
Spinosaurus_.11, {{11, {{88, 5, 10, 42}, 0.19}}, {4, {{88, 5, 10, 42}, 0.17}}, {20, {{88, 5, 10, 42}, 0.22}}, {7, {{88, 5, 10, 42}, 0.23}}, {17, {{88, 5, 10, 42}, 0.18}}, {10, {{88, 5, 10, 42}, 0.24}}, {18, {{88, 5, 10, 42}, 0.2}}, {1, {{88, 5, 10, 42}, 0.25}}, {10, {{88, 5, 10, 42}, 0.21}}, {2, {{88, 5, 10, 42}, 0.16}}}
Spinosaurus_.10, {{9, {{88, 5, 10, 42}, 0.33}}, {14, {{88, 5, 10, 42}, 0.26}}, {1, {{88, 5, 10, 42}, 0.35}}, {11, {{88, 5, 10, 42}, 0.32}}, {6, {{88, 5, 10, 42}, 0.28}}, {2, {{88, 5, 10, 42}, 0.24}}, {9, {{88, 5, 10, 42}, 0.25}}, {8, {{88, 5, 10, 42}, 0.29}}, {9, {{88, 5, 10, 42}, 0.27}}, {16, {{88, 5, 10, 42}, 0.31}}, {14, {{88, 5, 10, 42}, 0.3}}, {1, {{88, 5, 10, 42}, 0.34}}}
Spinosaurus_.9, {{100, {{88, 5, 10, 42}, 1.0}}}
Spinosaurus_.8, {{100, {{88, 5, 10, 42}, 1.0}}}
Spinosaurus_.7, {{100, {{88, 5, 10, 42}, 1.0}}}
Spinosaurus_.6, {{93, {{88, 5, 10, 42}, 0.98}}, {1, {{88, 5, 10, 42}, 0.99}}, {6, {{88, 5, 10, 42}, 0.97}}}
Spinosaurus_.5, {{100, {{88, 5, 10, 42}, 1.0}}}
Spinosaurus_.4, {{100, {{88, 5, 10, 42}, 1.0}}}
Spinosaurus_.3, {{100, {{88, 5, 10, 42}, 1.0}}}
Spinosaurus_.2, {{100, {{88, 5, 10, 42}, 1.0}}}
Spinosaurus_.1, {{94, {{88, 5, 10, 42}, 0.98}}, {6, {{88, 5, 10, 42}, 0.99}}}
Spinosaurus_, {{100, {{88, 5, 10, 42}, 1.0}}}
Baryonyx.3, {{64, {{88, 5, 10, 42}, 0.93}}, {2, {{88, 5, 10, 42}, 0.94}}, {34, {{88, 5, 10, 42}, 0.92}}}
Baryonyx.2, {{100, {{88, 5, 10, 42}, 1.0}}}
Baryonyx.1, {{100, {{88, 5, 10, 42}, 1.0}}}
Suchomimus.3, {{100, {{88, 5, 10, 42}, 0.01}}}
Suchomimus.2, {{6, {{88, 5, 10, 42}, 0.12}}, {17, {{88, 5, 10, 42}, 0.15}}, {28, {{88, 5, 10, 42}, 0.14}}, {2, {{88, 5, 10, 42}, 0.16}}, {1, {{88, 5, 10, 42}, 0.11}}, {46, {{88, 5, 10, 42}, 0.13}}}
Suchomimus.1, {{1, {{88, 5, 10, 42}, 0.02}}, {99, {{88, 5, 10, 42}, 0.01}}}
Suchomimus, {{1, {{88, 5, 10, 42}, 0.17}}, {1, {{88, 5, 10, 42}, 0.12}}, {27, {{88, 5, 10, 42}, 0.15}}, {49, {{88, 5, 10, 42}, 0.14}}, {7, {{88, 5, 10, 42}, 0.16}}, {15, {{88, 5, 10, 42}, 0.13}}}
Baryonyx, {{100, {{88, 5, 10, 42}, 1.0}}}
Australovenator, {{100, {{88, 5, 10, 42}, 0.0}}}
Meleagris, {{100, {{88, 5, 10, 42}, 0.0}}}
Cygnus_olor, {{17, {{88, 5, 10, 42}, 0.02}}, {83, {{88, 5, 10, 42}, 0.01}}}
Raphus, {{98, {{88, 5, 10, 42}, 0.02}}, {2, {{88, 5, 10, 42}, 0.01}}}
Porphyrio_hochstetteri, {{100, {{88, 5, 10, 42}, 0.0}}}
Xenicus_longipes, {{100, {{88, 5, 10, 42}, 0.0}}}
Fregata_aquila, {{100, {{88, 5, 10, 42}, 0.0}}}
Small_Eocene_penguin, {{100, {{88, 5, 10, 42}, 1.0}}}
Chironectes_minimus, {{68, {{87, 5, 10, 43}, 0.99}}, {32, {{86, 5, 11, 43}, 0.99}}}
Diplomesodon_pulchellum, {{23, {{86, 5, 11, 43}, 0.92}}, {60, {{87, 5, 10, 43}, 0.92}}, {9, {{86, 5, 11, 43}, 0.91}}, {8, {{87, 5, 10, 43}, 0.91}}}
Mustela_nivalis, {{11, {{86, 5, 11, 43}, 0.09}}, {21, {{86, 5, 11, 43}, 0.08}}, {20, {{87, 5, 10, 43}, 0.09}}, {48, {{87, 5, 10, 43}, 0.08}}}
Nyctereutes_procyonoides, {{8, {{87, 5, 10, 43}, 0.04}}, {31, {{86, 5, 11, 43}, 0.05}}, {60, {{87, 5, 10, 43}, 0.05}}, {1, {{86, 5, 11, 43}, 0.04}}}
Vulpes_vulpes, {{32, {{86, 5, 11, 43}, 0.0}}, {68, {{87, 5, 10, 43}, 0.0}}}
Lama_guanicoe, {{32, {{86, 5, 11, 43}, 0.0}}, {68, {{87, 5, 10, 43}, 0.0}}}
Elomeryx_borbonicus_, {{32, {{86, 5, 11, 43}, 0.01}}, {68, {{87, 5, 10, 43}, 0.01}}}
Cephalophus_silvicultor, {{2, {{86, 5, 11, 43}, 0.05}}, {14, {{87, 5, 10, 43}, 0.05}}, {30, {{86, 5, 11, 43}, 0.06}}, {54, {{87, 5, 10, 43}, 0.06}}}
Paraplacodus, {{32, {{86, 5, 11, 43}, 1.0}}, {68, {{87, 5, 10, 43}, 1.0}}}
Rhaeticosaurus, {{32, {{86, 5, 11, 43}, 1.0}}, {68, {{87, 5, 10, 43}, 1.0}}}
Lacerta_viridis, {{5, {{87, 5, 10, 43}, 0.4}}, {32, {{87, 5, 10, 43}, 0.38}}, {18, {{86, 5, 11, 43}, 0.39}}, {29, {{87, 5, 10, 43}, 0.39}}, {1, {{87, 5, 10, 43}, 0.41}}, {1, {{86, 5, 11, 43}, 0.37}}, {1, {{87, 5, 10, 43}, 0.37}}, {13, {{86, 5, 11, 43}, 0.38}}}
Lepidus, {{32, {{86, 5, 11, 43}, 0.0}}, {68, {{87, 5, 10, 43}, 0.0}}}
