Gorgosaurus, {{19, 0.53}, {37, 0.54}, {3, 0.52}, {6, 0.56}, {33, 0.55}, {2, 0.57}}
Eudromia_elegans, {{100, 0.0}}
Rhynchotus_rufescens_, {{100, 0.0}}
Crypturellus_tataupa, {{100, 0.0}}
Anseranas_semipalmata, {{100, 0.0}}
Anas_erythroincha, {{99, 0.01}, {1, 0.02}}
Anas_discors, {{100, 0.0}}
Strigiops_habroptilus, {{100, 0.0}}
Aptenodytes______, {{100, 1.0}}
Chironectes_minimus, {{100, 0.99}}
Phocanella_pumila, {{100, 1.0}}
Vulpes_vulpes, {{100, 0.0}}
Uncia_uncia, {{78, 0.04}, {22, 0.05}}
Syncerus_caffer, {{1, 0.58}, {40, 0.56}, {12, 0.55}, {47, 0.57}}
Alces_americanus, {{100, 0.01}}
Psephoderma, {{100, 1.0}}
Nothosaurus_mirabilis, {{100, 1.0}}
Lepidus, {{100, 0.0}}
Spinosaurus_.11, {{13, 0.22}, {13, 0.18}, {14, 0.2}, {11, 0.17}, {9, 0.16}, {12, 0.23}, {14, 0.21}, {14, 0.19}}
Spinosaurus_.10, {{14, 0.3}, {6, 0.32}, {12, 0.26}, {10, 0.25}, {15, 0.28}, {11, 0.31}, {4, 0.33}, {11, 0.27}, {8, 0.24}, {6, 0.29}, {3, 0.23}}
Spinosaurus_.9, {{100, 1.0}}
Spinosaurus_.8, {{100, 1.0}}
Spinosaurus_.7, {{100, 1.0}}
Spinosaurus_.6, {{95, 0.98}, {1, 0.99}, {4, 0.97}}
Spinosaurus_.5, {{100, 1.0}}
Spinosaurus_.4, {{100, 1.0}}
Spinosaurus_.3, {{100, 1.0}}
Spinosaurus_.2, {{100, 1.0}}
Spinosaurus_.1, {{99, 0.98}, {1, 0.97}}
Spinosaurus_, {{100, 1.0}}
Baryonyx.3, {{38, 0.94}, {3, 0.92}, {59, 0.93}}
Baryonyx.2, {{100, 1.0}}
Baryonyx.1, {{100, 1.0}}
Suchomimus.3, {{50, 0.01}, {50, 0.02}}
Suchomimus.2, {{17, 0.15}, {14, 0.18}, {32, 0.17}, {32, 0.16}, {4, 0.14}, {1, 0.19}}
