Lissodelphis_borealis, {{100, {{49, 8, 8, 36}, 0.55}}}
Giraffa_camelopardalis, {{100, {{49, 8, 8, 36}, 0.05}}}
Serpianosaurus, {{100, {{47, 10, 10, 34}, 1.0}}}
Tylosaurus_sp., {{3, {{47, 10, 10, 34}, 0.85}}, {97, {{47, 10, 10, 34}, 0.86}}}
Crocodylus_sp., {{100, {{47, 10, 10, 34}, 0.97}}}
Baryonyx.1, {{100, {{47, 10, 10, 34}, 0.96}}}
Spinosaurus.3, {{100, {{47, 10, 10, 34}, 0.97}}}
Spinosaurus.2, {{100, {{47, 10, 10, 34}, 0.99}}}
Spinosaurus.1, {{84, {{47, 10, 10, 34}, 0.95}}, {16, {{47, 10, 10, 34}, 0.96}}}
Baryonyx, {{100, {{47, 10, 10, 34}, 0.99}}}
Spinosaurus, {{100, {{47, 10, 10, 34}, 0.99}}}
Casuarius_casuarius, {{100, {{47, 10, 10, 34}, 0.25}}}
Ashoroa_laticosta, {{100, {{47, 10, 10, 34}, 0.98}}}
Myoprocta_pratti, {{100, {{47, 10, 10, 34}, 0.05}}}
Apodemus_sp., {{100, {{47, 10, 10, 34}, 0.12}}}
Nanophoca_vitulinoides, {{100, {{47, 10, 10, 34}, 0.99}}}
Sus_scrofa, {{100, {{47, 10, 10, 34}, 0.09}}}
Cervus_elaphus_canadensis, {{87, {{47, 10, 10, 34}, 0.07}}, {13, {{47, 10, 10, 34}, 0.06}}}
Rangifer_tarandus, {{100, {{47, 10, 10, 34}, 0.63}}}
Dallasaurus_turneri, {{100, {{49, 9, 7, 36}, 0.38}}}
Baryonyx.1, {{100, {{49, 9, 7, 36}, 0.99}}}
Spinosaurus.3, {{100, {{49, 9, 7, 36}, 0.99}}}
Spinosaurus.2, {{100, {{49, 9, 7, 36}, 1.0}}}
Spinosaurus.1, {{100, {{49, 9, 7, 36}, 0.98}}}
Baryonyx, {{100, {{49, 9, 7, 36}, 1.0}}}
Spinosaurus, {{100, {{49, 9, 7, 36}, 1.0}}}
Apteryx_owenii, {{100, {{49, 9, 7, 36}, 0.53}}}
Vombatus_ursinus, {{100, {{49, 9, 7, 36}, 0.9}}}
Dugong_dugon, {{100, {{49, 9, 7, 36}, 1.0}}}
Procavia_capensis, {{100, {{49, 9, 7, 36}, 0.07}}}
Rattus_rattus, {{100, {{49, 9, 7, 36}, 0.25}}}
Hydromys_chrysogaster, {{13, {{49, 9, 7, 36}, 0.82}}, {87, {{49, 9, 7, 36}, 0.83}}}
Rhinoceros_sondaicus, {{93, {{49, 9, 7, 36}, 0.97}}, {7, {{49, 9, 7, 36}, 0.98}}}
Rodhocetus, {{100, {{49, 9, 7, 36}, 0.99}}}
Capreolus_capreolus, {{100, {{49, 9, 7, 36}, 0.0}}}
Bison_bison, {{100, {{49, 9, 7, 36}, 0.32}}}
Baryonyx.1, {{100, {{43, 9, 11, 38}, 0.95}}}
Spinosaurus.3, {{100, {{43, 9, 11, 38}, 0.96}}}
Spinosaurus.2, {{100, {{43, 9, 11, 38}, 0.99}}}
Spinosaurus.1, {{78, {{43, 9, 11, 38}, 0.95}}, {22, {{43, 9, 11, 38}, 0.94}}}
Baryonyx, {{100, {{43, 9, 11, 38}, 0.99}}}
Spinosaurus, {{100, {{43, 9, 11, 38}, 0.99}}}
Atlantisia_rogersi, {{100, {{43, 9, 11, 38}, 0.37}}}
Tachyglossus_aculeatus_setosus, {{100, {{43, 9, 11, 38}, 0.17}}}
Elephas_maximus, {{4, {{43, 9, 11, 38}, 0.05}}, {96, {{43, 9, 11, 38}, 0.06}}}
Mammuthus_primigenius, {{100, {{43, 9, 11, 38}, 0.39}}}
Galagoides_demidovii, {{100, {{43, 9, 11, 38}, 0.03}}}
Euroscaptor_micrura, {{100, {{43, 9, 11, 38}, 0.27}}}
Genetta_genetta, {{100, {{43, 9, 11, 38}, 0.16}}}
Martes_foina, {{100, {{43, 9, 11, 38}, 0.22}}}
Enhydra_lutris, {{100, {{43, 9, 11, 38}, 0.95}}}
Neovison_vison, {{98, {{43, 9, 11, 38}, 0.34}}, {2, {{43, 9, 11, 38}, 0.35}}}
Mustela_nivalis, {{100, {{43, 9, 11, 38}, 0.35}}}
Ceresiosaurus, {{100, {{49, 9, 9, 34}, 1.0}}}
Mollesaurus, {{100, {{49, 9, 9, 34}, 0.81}}}
Baryonyx.1, {{100, {{49, 9, 9, 34}, 0.97}}}
Spinosaurus.3, {{100, {{49, 9, 9, 34}, 0.97}}}
Spinosaurus.2, {{100, {{49, 9, 9, 34}, 1.0}}}
Spinosaurus.1, {{100, {{49, 9, 9, 34}, 0.96}}}
Baryonyx, {{100, {{49, 9, 9, 34}, 1.0}}}
Spinosaurus, {{100, {{49, 9, 9, 34}, 0.99}}}
Aptenodytes_patagonicus, {{96, {{49, 9, 9, 34}, 0.68}}, {4, {{49, 9, 9, 34}, 0.69}}}
Dasyurus_maculatus, {{100, {{49, 9, 9, 34}, 0.46}}}
Orycteropus_afer, {{100, {{49, 9, 9, 34}, 0.05}}}
Trichechus_manatus, {{100, {{49, 9, 9, 34}, 1.0}}}
Desmostylus_hesperus, {{100, {{49, 9, 9, 34}, 0.23}}}
Ceratotherium_simum, {{11, {{49, 9, 9, 34}, 0.47}}, {89, {{49, 9, 9, 34}, 0.46}}}
Hippopotamus_amphibius, {{100, {{49, 9, 9, 34}, 0.88}}}
Bison_bonasus, {{100, {{49, 9, 9, 34}, 0.02}}}
Aepyceros_melampus, {{100, {{49, 9, 9, 34}, 0.29}}}
