Taxidea_taxus, {{100, {{45, 9, 10, 37}, 0.36}}}
Equus_caballus, {{100, {{45, 9, 10, 37}, 0.47}}}
Aepyceros_melampus, {{100, {{45, 9, 10, 37}, 0.35}}}
Carentonosaurus_mineaui, {{100, {{48, 10, 7, 36}, 0.99}}}
Tylosaurus_sp., {{79, {{48, 10, 7, 36}, 0.88}}, {21, {{48, 10, 7, 36}, 0.87}}}
Baryonyx.1, {{100, {{48, 10, 7, 36}, 0.97}}}
Spinosaurus.3, {{8, {{48, 10, 7, 36}, 0.97}}, {92, {{48, 10, 7, 36}, 0.98}}}
Spinosaurus.2, {{100, {{48, 10, 7, 36}, 1.0}}}
Spinosaurus.1, {{100, {{48, 10, 7, 36}, 0.97}}}
Baryonyx, {{100, {{48, 10, 7, 36}, 1.0}}}
Spinosaurus, {{100, {{48, 10, 7, 36}, 1.0}}}
Dasyurus_maculatus, {{100, {{48, 10, 7, 36}, 0.47}}}
Vombatus_ursinus, {{100, {{48, 10, 7, 36}, 0.88}}}
Sciurus_vulgaris, {{100, {{48, 10, 7, 36}, 0.12}}}
Euroscaptor_micrura, {{87, {{48, 10, 7, 36}, 0.22}}, {13, {{48, 10, 7, 36}, 0.21}}}
Panthera_leo_persica, {{100, {{48, 10, 7, 36}, 0.04}}}
Tapirus_terrestris, {{100, {{48, 10, 7, 36}, 0.73}}}
Sus_scrofa, {{100, {{48, 10, 7, 36}, 0.05}}}
Cervus_elaphus_canadensis, {{100, {{48, 10, 7, 36}, 0.03}}}
Capra_aegagrus, {{100, {{48, 10, 7, 36}, 0.68}}}
Ceresiosaurus, {{100, {{48, 10, 8, 35}, 1.0}}}
Baryonyx.1, {{100, {{48, 10, 8, 35}, 0.97}}}
Spinosaurus.3, {{100, {{48, 10, 8, 35}, 0.97}}}
Spinosaurus.2, {{100, {{48, 10, 8, 35}, 0.99}}}
Spinosaurus.1, {{100, {{48, 10, 8, 35}, 0.96}}}
Baryonyx, {{100, {{48, 10, 8, 35}, 0.99}}}
Spinosaurus, {{100, {{48, 10, 8, 35}, 0.99}}}
Apteryx_owenii, {{100, {{48, 10, 8, 35}, 0.52}}}
Tachyglossus_aculeatus_setosus, {{100, {{48, 10, 8, 35}, 0.16}}}
Didelphis_sp., {{100, {{48, 10, 8, 35}, 0.04}}}
Dugong_dugon, {{100, {{48, 10, 8, 35}, 0.99}}}
Elephas_maximus, {{100, {{48, 10, 8, 35}, 0.07}}}
Gorilla_gorilla, {{100, {{48, 10, 8, 35}, 0.07}}}
Hydromys_chrysogaster, {{44, {{48, 10, 8, 35}, 0.79}}, {56, {{48, 10, 8, 35}, 0.78}}}
Genetta_genetta, {{100, {{48, 10, 8, 35}, 0.14}}}
Enhydra_lutris, {{100, {{48, 10, 8, 35}, 0.95}}}
Rhinocerus_unicornis, {{100, {{48, 10, 8, 35}, 0.85}}}
Serpianosaurus, {{100, {{48, 7, 11, 35}, 1.0}}}
Baryonyx.1, {{100, {{48, 7, 11, 35}, 0.96}}}
Spinosaurus.3, {{100, {{48, 7, 11, 35}, 0.97}}}
Spinosaurus.2, {{32, {{48, 7, 11, 35}, 0.99}}, {68, {{48, 7, 11, 35}, 1.0}}}
Spinosaurus.1, {{61, {{48, 7, 11, 35}, 0.96}}, {39, {{48, 7, 11, 35}, 0.95}}}
Baryonyx, {{25, {{48, 7, 11, 35}, 0.99}}, {75, {{48, 7, 11, 35}, 1.0}}}
Spinosaurus, {{100, {{48, 7, 11, 35}, 0.99}}}
Lepus_europaeus, {{97, {{48, 7, 11, 35}, 0.37}}, {3, {{48, 7, 11, 35}, 0.38}}}
Desmana_moschata, {{99, {{48, 7, 11, 35}, 0.91}}, {1, {{48, 7, 11, 35}, 0.92}}}
Crocidura_russula, {{100, {{48, 7, 11, 35}, 0.13}}}
Nanophoca_vitulinoides, {{100, {{48, 7, 11, 35}, 0.99}}}
Neovison_vison, {{2, {{48, 7, 11, 35}, 0.33}}, {98, {{48, 7, 11, 35}, 0.32}}}
Tapirus_indicus, {{100, {{48, 7, 11, 35}, 0.17}}}
Balaenoptera_brydei, {{99, {{48, 7, 11, 35}, 0.29}}, {1, {{48, 7, 11, 35}, 0.28}}}
Lissodelphis_borealis, {{100, {{48, 7, 11, 35}, 0.57}}}
Capreolus_capreolus, {{100, {{48, 7, 11, 35}, 0.01}}}
Bison_bison, {{100, {{48, 7, 11, 35}, 0.36}}}
