Casuarius_casuarius, {{97, {{49, 9, 8, 35}, 0.21}}, {3, {{49, 9, 8, 35}, 0.22}}}
Rhynchocyon_petersi, {{100, {{49, 9, 8, 35}, 0.21}}}
Dugong_dugon, {{100, {{49, 9, 8, 35}, 1.0}}}
Procavia_capensis, {{100, {{49, 9, 8, 35}, 0.08}}}
Castor_fiber, {{100, {{49, 9, 8, 35}, 0.94}}}
Arvicola_amphibius, {{100, {{49, 9, 8, 35}, 0.03}}}
Lutra_vulgaris, {{100, {{49, 9, 8, 35}, 0.94}}}
Ceratotherium_simum, {{100, {{49, 9, 8, 35}, 0.67}}}
Rhinoceros_sondaicus, {{100, {{49, 9, 8, 35}, 0.98}}}
Aepyceros_melampus, {{100, {{49, 9, 8, 35}, 0.36}}}
Neusticosaurus, {{100, {{48, 9, 8, 36}, 1.0}}}
Carentonosaurus_mineaui, {{100, {{48, 9, 8, 36}, 0.99}}}
Baryonyx.1, {{100, {{48, 9, 8, 36}, 0.96}}}
Spinosaurus.3, {{100, {{48, 9, 8, 36}, 0.97}}}
Spinosaurus.2, {{100, {{48, 9, 8, 36}, 0.99}}}
Spinosaurus.1, {{100, {{48, 9, 8, 36}, 0.96}}}
Baryonyx, {{100, {{48, 9, 8, 36}, 0.99}}}
Spinosaurus, {{100, {{48, 9, 8, 36}, 0.99}}}
Apteryx_owenii, {{100, {{48, 9, 8, 36}, 0.54}}}
Perameles_nasuta, {{100, {{48, 9, 8, 36}, 0.27}}}
Dasyurus_maculatus, {{100, {{48, 9, 8, 36}, 0.5}}}
Cercopithecus_mona, {{100, {{48, 9, 8, 36}, 0.03}}}
Myoprocta_pratti, {{100, {{48, 9, 8, 36}, 0.04}}}
Myocastor_coypus, {{81, {{48, 9, 8, 36}, 0.22}}, {19, {{48, 9, 8, 36}, 0.23}}}
Rattus_rattus, {{100, {{48, 9, 8, 36}, 0.35}}}
Tremarctos_ornatus, {{100, {{48, 9, 8, 36}, 0.71}}}
Rodhocetus, {{100, {{48, 9, 8, 36}, 0.98}}}
