{{100, {53, 11, 10, 38}}}
{{100, {52, 8, 11, 41}}}
{{100, {48, 7, 15, 42}}}
{{100, {38, 11, 25, 38}}}
{{100, {48, 10, 15, 39}}}
{{100, {53, 6, 10, 43}}}
{{100, {56, 11, 7, 38}}}
{{100, {50, 7, 13, 42}}}
{{100, {53, 9, 10, 40}}}
{{100, {56, 8, 7, 41}}}
{{100, {52, 10, 11, 39}}}
{{100, {51, 8, 12, 41}}}
{{100, {53, 5, 10, 44}}}
{{100, {50, 8, 13, 41}}}
{{100, {56, 10, 7, 39}}}
{{100, {54, 7, 9, 42}}}
{{100, {47, 12, 16, 37}}}
{{61, {56, 9, 7, 40}}, {39, {55, 9, 8, 40}}}
{{100, {56, 10, 7, 39}}}
{{100, {55, 10, 8, 39}}}
{{100, {54, 6, 9, 43}}}
{{100, {54, 10, 9, 39}}}
{{100, {50, 11, 13, 38}}}
{{100, {55, 8, 8, 41}}}
{{100, {53, 11, 10, 38}}}
{{100, {59, 11, 4, 38}}}
{{100, {50, 12, 13, 37}}}
{{100, {50, 9, 13, 40}}}
{{100, {50, 11, 13, 38}}}
{{61, {52, 8, 11, 41}}, {39, {54, 8, 9, 41}}}
{{100, {51, 11, 12, 38}}}
{{100, {49, 11, 14, 38}}}
{{100, {53, 9, 10, 40}}}
{{100, {55, 9, 8, 40}}}
{{100, {57, 7, 6, 42}}}
{{100, {52, 4, 11, 45}}}
{{100, {51, 14, 12, 35}}}
{{100, {54, 10, 9, 39}}}
{{100, {50, 11, 13, 38}}}
{{100, {55, 12, 8, 37}}}
{{100, {56, 5, 7, 44}}}
{{100, {56, 7, 7, 42}}}
{{100, {55, 10, 8, 39}}}
{{97, {54, 7, 9, 42}}, {3, {54, 6, 9, 43}}}
{{100, {57, 6, 6, 43}}}
{{100, {58, 9, 5, 40}}}
{{100, {51, 13, 12, 36}}}
{{100, {49, 7, 14, 42}}}
{{100, {49, 10, 14, 39}}}
{{95, {56, 9, 7, 40}}, {5, {56, 8, 7, 41}}}
{{100, {54, 10, 9, 39}}}
{{100, {53, 11, 10, 38}}}
{{100, {48, 10, 15, 39}}}
{{100, {54, 10, 9, 39}}}
{{100, {54, 11, 9, 38}}}
{{100, {60, 8, 3, 41}}}
{{100, {50, 10, 13, 39}}}
{{100, {56, 9, 7, 40}}}
{{100, {59, 7, 4, 42}}}
{{100, {56, 6, 7, 43}}}
{{100, {57, 9, 6, 40}}}
{{100, {39, 13, 24, 36}}}
{{100, {54, 8, 9, 41}}}
{{100, {57, 7, 6, 42}}}
{{5, {56, 9, 7, 40}}, {92, {54, 9, 9, 40}}, {3, {55, 9, 8, 40}}}
{{100, {54, 8, 9, 41}}}
{{100, {50, 9, 13, 40}}}
{{100, {56, 10, 7, 39}}}
{{100, {53, 5, 10, 44}}}
{{100, {52, 9, 11, 40}}}
{{100, {52, 11, 11, 38}}}
{{100, {55, 6, 8, 43}}}
{{100, {50, 10, 13, 39}}}
{{100, {51, 11, 12, 38}}}
{{100, {50, 7, 13, 42}}}
{{100, {45, 11, 18, 38}}}
{{100, {52, 11, 11, 38}}}
{{100, {44, 14, 19, 35}}}
{{100, {55, 15, 8, 34}}}
{{100, {49, 7, 14, 42}}}
{{100, {49, 12, 14, 37}}}
{{100, {47, 11, 16, 38}}}
{{100, {53, 10, 10, 39}}}
{{100, {51, 10, 12, 39}}}
{{100, {47, 8, 16, 41}}}
{{100, {51, 7, 12, 42}}}
{{100, {53, 11, 10, 38}}}
{{100, {52, 8, 11, 41}}}
{{100, {57, 10, 6, 39}}}
{{100, {50, 10, 13, 39}}}
{{100, {55, 10, 8, 39}}}
{{100, {54, 7, 9, 42}}}
{{100, {57, 7, 6, 42}}}
{{100, {53, 12, 10, 37}}}
{{100, {53, 12, 10, 37}}}
{{100, {59, 7, 4, 42}}}
{{98, {52, 8, 11, 41}}, {1, {53, 8, 10, 41}}, {1, {54, 8, 9, 41}}}
{{100, {54, 13, 9, 36}}}
{{100, {53, 7, 10, 42}}}
{{100, {54, 13, 9, 36}}}
{{100, {45, 10, 18, 39}}}
{{100, {50, 6, 13, 43}}}
{{100, {50, 10, 13, 39}}}
{{100, {54, 8, 9, 41}}}
{{100, {57, 11, 6, 38}}}
{{100, {37, 9, 26, 40}}}
{{100, {52, 11, 11, 38}}}
{{94, {46, 12, 17, 37}}, {6, {46, 11, 17, 38}}}
{{100, {54, 6, 9, 43}}}
{{100, {52, 11, 11, 38}}}
{{100, {49, 8, 14, 41}}}
{{100, {55, 13, 8, 36}}}
