Zaglossus_bruijni, {{100, {{47, 9, 9, 36}, 0.02}}}
Dasyprocta__punctata, {{93, {{47, 9, 9, 36}, 0.03}}, {7, {{47, 9, 9, 36}, 0.04}}}
Apodemus_sp., {{97, {{47, 9, 9, 36}, 0.09}}, {3, {{47, 9, 9, 36}, 0.08}}}
Euroscaptor_micrura, {{100, {{47, 9, 9, 36}, 0.21}}}
Ursus_spelaeus, {{3, {{47, 9, 9, 36}, 0.92}}, {97, {{47, 9, 9, 36}, 0.93}}}
Tapirus_indicus, {{94, {{47, 9, 9, 36}, 0.15}}, {6, {{47, 9, 9, 36}, 0.14}}}
Camelus_bactrianus, {{100, {{47, 9, 9, 36}, 0.29}}}
Lissodelphis_borealis, {{100, {{47, 9, 9, 36}, 0.55}}}
Orcinus_orca, {{100, {{47, 9, 9, 36}, 0.98}}}
Capreolus_capreolus, {{100, {{47, 9, 9, 36}, 0.01}}}
Serpianosaurus, {{100, {{49, 9, 8, 35}, 1.0}}}
Mollesaurus, {{100, {{49, 9, 8, 35}, 0.8}}}
Baryonyx.1, {{75, {{49, 9, 8, 35}, 0.96}}, {25, {{49, 9, 8, 35}, 0.97}}}
Spinosaurus.3, {{100, {{49, 9, 8, 35}, 0.97}}}
Spinosaurus.2, {{79, {{49, 9, 8, 35}, 1.0}}, {21, {{49, 9, 8, 35}, 0.99}}}
Spinosaurus.1, {{100, {{49, 9, 8, 35}, 0.96}}}
Baryonyx, {{99, {{49, 9, 8, 35}, 1.0}}, {1, {{49, 9, 8, 35}, 0.99}}}
Spinosaurus, {{100, {{49, 9, 8, 35}, 0.99}}}
Dasyurus_maculatus, {{1, {{49, 9, 8, 35}, 0.47}}, {99, {{49, 9, 8, 35}, 0.48}}}
Macropus_rufus, {{100, {{49, 9, 8, 35}, 0.53}}}
Choloepus_didactylus, {{100, {{49, 9, 8, 35}, 0.08}}}
Desmostylus_hesperus, {{100, {{49, 9, 8, 35}, 0.23}}}
Nanophoca_vitulinoides, {{100, {{49, 9, 8, 35}, 0.99}}}
Taxidea_taxus, {{100, {{49, 9, 8, 35}, 0.33}}}
Equus_caballus, {{100, {{49, 9, 8, 35}, 0.39}}}
Delphinapterus_leucas, {{33, {{49, 9, 8, 35}, 0.95}}, {67, {{49, 9, 8, 35}, 0.94}}}
Giraffa_camelopardalis, {{100, {{49, 9, 8, 35}, 0.07}}}
