Equus_caballus, {{99, {{47, 10, 7, 37}, 0.47}}, {1, {{47, 10, 7, 37}, 0.46}}}
Rhinocerus_unicornis, {{100, {{47, 10, 7, 37}, 0.88}}}
Giraffa_camelopardalis, {{87, {{47, 10, 7, 37}, 0.1}}, {13, {{47, 10, 7, 37}, 0.09}}}
Bison_bison, {{100, {{47, 10, 7, 37}, 0.39}}}
Aepyceros_melampus, {{100, {{47, 10, 7, 37}, 0.33}}}
Capra_aegagrus, {{100, {{47, 10, 7, 37}, 0.71}}}
Ceresiosaurus, {{100, {{47, 10, 10, 34}, 1.0}}}
Baryonyx.1, {{100, {{47, 10, 10, 34}, 0.95}}}
Spinosaurus.3, {{100, {{47, 10, 10, 34}, 0.96}}}
Spinosaurus.2, {{100, {{47, 10, 10, 34}, 0.99}}}
Spinosaurus.1, {{1, {{47, 10, 10, 34}, 0.95}}, {99, {{47, 10, 10, 34}, 0.94}}}
Baryonyx, {{100, {{47, 10, 10, 34}, 0.99}}}
Spinosaurus, {{100, {{47, 10, 10, 34}, 0.99}}}
Apteryx_owenii, {{100, {{47, 10, 10, 34}, 0.54}}}
Atlantisia_rogersi, {{100, {{47, 10, 10, 34}, 0.4}}}
Ornithorhynchus_anatinus, {{100, {{47, 10, 10, 34}, 0.92}}}
Zaglossus_bruijni, {{100, {{47, 10, 10, 34}, 0.05}}}
Procavia_capensis, {{100, {{47, 10, 10, 34}, 0.16}}}
Elephas_maximus, {{100, {{47, 10, 10, 34}, 0.07}}}
Myoprocta_pratti, {{100, {{47, 10, 10, 34}, 0.06}}}
Callophoca_obscura, {{100, {{47, 10, 10, 34}, 0.64}}}
Dorudon, {{86, {{47, 10, 10, 34}, 0.99}}, {14, {{47, 10, 10, 34}, 0.98}}}
Orcinus_orca, {{100, {{47, 10, 10, 34}, 0.96}}}
Platecarpus_sp., {{58, {{48, 10, 8, 35}, 0.93}}, {42, {{48, 10, 8, 35}, 0.94}}}
Baryonyx.1, {{100, {{48, 10, 8, 35}, 0.97}}}
