Procavia_capensis, {{39, 0.04}, {61, 0.05}}
Castor_fiber, {{100, 0.94}}
Desmana_moschata, {{10, 0.92}, {90, 0.91}}
Rodhocetus, {{100, 0.99}}
Baryonyx.1, {{100, 1.0}}
Spinosaurus.3, {{100, 1.0}}
Spinosaurus.2, {{100, 1.0}}
Spinosaurus.1, {{46, 0.99}, {54, 1.0}}
Baryonyx, {{100, 1.0}}
Spinosaurus, {{100, 1.0}}
Podica_senegalensis, {{65, 0.5}, {35, 0.49}}
Porzana_carolina, {{100, 0.0}}
Strigiops_habroptilus, {{100, 0.01}}
Buteo_buteo, {{100, 0.0}}
Phalacrocorax_harris, {{24, 0.92}, {76, 0.91}}
Vombatus_ursinus, {{100, 0.93}}
Apodemus_sp., {{99, 0.0}, {1, 0.01}}
Galemys_pyrenaicus, {{100, 0.0}}
Noemys_fodies, {{24, 0.47}, {76, 0.48}}
Felis_silvestris, {{100, 0.01}}
Vulpes_vulpes, {{100, 0.0}}
Taxidea_taxus, {{71, 0.1}, {29, 0.09}}
Capra_aegagrus, {{1, 0.63}, {99, 0.64}}
