Struthio_camelus, {{100, {{79, 6, 11, 27}, 0.07}}}
Chaunia_chavaria, {{100, {{79, 6, 11, 27}, 0.08}}}
Anser_fabalis, {{100, {{79, 6, 11, 27}, 0.12}}}
Dendrocopos_major, {{26, {{79, 6, 11, 27}, 0.14}}, {74, {{79, 6, 11, 27}, 0.13}}}
Corvus_corone, {{100, {{79, 6, 11, 27}, 0.0}}}
Pelagodroma_marina, {{20, {{79, 6, 11, 27}, 0.2}}, {80, {{79, 6, 11, 27}, 0.21}}}
Didelphis_sp., {{50, {{79, 6, 11, 27}, 0.01}}, {50, {{79, 6, 11, 27}, 0.0}}}
Tenrec_ecaudatus, {{19, {{79, 6, 11, 27}, 0.22}}, {81, {{79, 6, 11, 27}, 0.23}}}
Paleoparadoxia_sp, {{100, {{79, 6, 11, 27}, 1.0}}}
Rattus_rattus, {{19, {{79, 6, 11, 27}, 0.29}}, {81, {{79, 6, 11, 27}, 0.28}}}
Euroscaptor_micrura, {{6, {{79, 6, 11, 27}, 0.16}}, {94, {{79, 6, 11, 27}, 0.17}}}
Diplomesodon_pulchellum, {{70, {{79, 6, 11, 27}, 0.31}}, {30, {{79, 6, 11, 27}, 0.32}}}
Bison_bonasus, {{100, {{79, 6, 11, 27}, 0.0}}}
Serpianosaurus, {{100, {{80, 5, 10, 28}, 1.0}}}
Baryonyx.1, {{76, {{80, 5, 10, 28}, 0.97}}, {24, {{80, 5, 10, 28}, 0.98}}}
Spinosaurus.3, {{19, {{80, 5, 10, 28}, 0.97}}, {81, {{80, 5, 10, 28}, 0.98}}}
Spinosaurus.2, {{100, {{80, 5, 10, 28}, 1.0}}}
Spinosaurus.1, {{1, {{80, 5, 10, 28}, 0.96}}, {99, {{80, 5, 10, 28}, 0.97}}}
Baryonyx, {{100, {{80, 5, 10, 28}, 1.0}}}
Spinosaurus, {{100, {{80, 5, 10, 28}, 1.0}}}
Goura_cristata, {{100, {{80, 5, 10, 28}, 0.01}}}
Aramus_guarana, {{1, {{80, 5, 10, 28}, 0.27}}, {99, {{80, 5, 10, 28}, 0.26}}}
Podica_senegalensis, {{11, {{80, 5, 10, 28}, 0.61}}, {89, {{80, 5, 10, 28}, 0.62}}}
Rhynchocyon_petersi, {{20, {{80, 5, 10, 28}, 0.19}}, {80, {{80, 5, 10, 28}, 0.18}}}
Microgale_thomasi, {{3, {{80, 5, 10, 28}, 0.12}}, {97, {{80, 5, 10, 28}, 0.11}}}
Galagoides_demidovii, {{100, {{80, 5, 10, 28}, 0.01}}}
Gorilla_gorilla, {{100, {{80, 5, 10, 28}, 0.01}}}
Dasyprocta__punctata, {{33, {{80, 5, 10, 28}, 0.01}}, {67, {{80, 5, 10, 28}, 0.02}}}
Hemiechinus_azurites, {{96, {{80, 5, 10, 28}, 0.05}}, {4, {{80, 5, 10, 28}, 0.04}}}
Ursus_spelaeus, {{100, {{80, 5, 10, 28}, 0.91}}}
Cervus_elaphus_canadensis, {{100, {{80, 5, 10, 28}, 0.01}}}
Aepyceros_melampus, {{90, {{80, 5, 10, 28}, 0.2}}, {10, {{80, 5, 10, 28}, 0.19}}}
Nothosaurus_sp., {{100, {{86, 4, 10, 23}, 1.0}}}
Ceresiosaurus, {{100, {{86, 4, 10, 23}, 1.0}}}
Baryonyx.1, {{100, {{86, 4, 10, 23}, 0.98}}}
Spinosaurus.3, {{100, {{86, 4, 10, 23}, 0.98}}}
Spinosaurus.2, {{100, {{86, 4, 10, 23}, 1.0}}}
Spinosaurus.1, {{100, {{86, 4, 10, 23}, 0.97}}}
Baryonyx, {{100, {{86, 4, 10, 23}, 1.0}}}
Spinosaurus, {{100, {{86, 4, 10, 23}, 1.0}}}
Lourinhanosaurus, {{100, {{86, 4, 10, 23}, 0.08}}}
Caloenas_nicobarica, {{2, {{86, 4, 10, 23}, 0.22}}, {98, {{86, 4, 10, 23}, 0.23}}}
Porphyrio_poliocephalus, {{98, {{86, 4, 10, 23}, 0.09}}, {2, {{86, 4, 10, 23}, 0.1}}}
Eudyptes_chrysocome, {{7, {{86, 4, 10, 23}, 0.93}}, {93, {{86, 4, 10, 23}, 0.92}}}
Ornithorhynchus_anatinus, {{54, {{86, 4, 10, 23}, 0.93}}, {46, {{86, 4, 10, 23}, 0.94}}}
Monodelphis_domestica, {{99, {{86, 4, 10, 23}, 0.09}}, {1, {{86, 4, 10, 23}, 0.08}}}
Desmana_moschata, {{48, {{86, 4, 10, 23}, 0.89}}, {52, {{86, 4, 10, 23}, 0.9}}}
Crocidura_russula, {{4, {{86, 4, 10, 23}, 0.05}}, {96, {{86, 4, 10, 23}, 0.06}}}
Pipistrellus_pipistrellus, {{100, {{86, 4, 10, 23}, 0.0}}}
Enhydra_lutris, {{100, {{86, 4, 10, 23}, 0.96}}}
Tapirus_indicus, {{98, {{86, 4, 10, 23}, 0.07}}, {2, {{86, 4, 10, 23}, 0.08}}}
