Cygnus_olor, {{85, {{83, 5, 8, 27}, 0.45}}, {15, {{83, 5, 8, 27}, 0.46}}}
Turdus_olivater, {{32, {{83, 5, 8, 27}, 0.82}}, {68, {{83, 5, 8, 27}, 0.83}}}
Morus_bassanus, {{100, {{83, 5, 8, 27}, 0.0}}}
Dasyurus_maculatus, {{45, {{83, 5, 8, 27}, 0.31}}, {55, {{83, 5, 8, 27}, 0.32}}}
Vombatus_ursinus, {{99, {{83, 5, 8, 27}, 0.93}}, {1, {{83, 5, 8, 27}, 0.94}}}
Sciurus_vulgaris, {{89, {{83, 5, 8, 27}, 0.02}}, {11, {{83, 5, 8, 27}, 0.03}}}
Arvicola_amphibius, {{100, {{83, 5, 8, 27}, 0.01}}}
Rattus_rattus, {{91, {{83, 5, 8, 27}, 0.16}}, {1, {{83, 5, 8, 27}, 0.17}}, {8, {{83, 5, 8, 27}, 0.15}}}
Genetta_genetta, {{100, {{83, 5, 8, 27}, 0.02}}}
Vulpes_vulpes, {{100, {{83, 5, 8, 27}, 0.0}}}
Ursus_maritimus, {{100, {{83, 5, 8, 27}, 0.0}}}
Rodhocetus, {{100, {{83, 5, 8, 27}, 1.0}}}
